invoice_id,subscription_id,invoice_date,due_date,invoice_amount,tax_amount,payment_status,payment_date,payment_method,record_status,status_reason,payment_status_norm
I0000021,S001982,2025-01-08,2025-01-23,,23412.16,Refunded,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount,Refunded
I0000022,S001164,2025-03-17,2025-03-28,51567.71,-1990.27,Failed,2025-05-02,,INVALID,Negative tax_amount,Failed
I0000023,S001618,2025-03-20,2025-03-30,76110.78,22301.52,Refunded,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000024,S001965,2024-04-09,2024-04-24,76411.49,5262.6,Refunded,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000025,S001057,2024-08-09,2024-08-19,9378.74,,Failed,2024-08-07,,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Failed
I0000026,S001171,2025-02-16,2025-03-31,16395.18,9896.45,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000027,S001604,2025-10-30,2025-10-15,67031.92,22798.44,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000028,S000605,2024-08-29,2024-09-09,92893.95,22341.17,Refunded,2024-10-20,Card,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000029,S000431,2025-02-09,2025-03-23,7105.08,22860.5,Paid,2025-02-04,,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Paid
I0000030,S002060,2025-05-26,2025-06-30,109207.78,12797.38,,,Wallet,SUSPICIOUS,Missing payment_status,Nan
I0000031,S000113,2024-11-30,2024-11-23,91268.81,-3589.96,Refunded,,Card,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Refunded
I0000032,S000206,2025-07-09,2025-08-22,73576.0,-2732.3,Paid,2025-08-15,Card,INVALID,Negative tax_amount,Paid
I0000033,S001318,2024-05-07,2024-05-20,40950.87,2322.94,,,Card,SUSPICIOUS,Missing payment_status,Nan
I0000034,S000949,2025-10-27,2025-11-07,26092.19,1184.5,Refunded,,,INVALID,Invoice references non-existent/invalid subscription,Refunded
,S000481,2024-12-11,2025-01-15,,17806.93,,2025-02-21,Bank Transfer,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription; Missing invoice_amount; Missing payment_status,Nan
I0000036,S001438,2025-07-07,2025-08-05,106793.87,6665.57,Paid,2025-09-12,Bank Transfer,VALID,No issues detected,Paid
I0000037,S000183,2025-12-01,2026-01-04,33346.69,-1206.63,Paid,2026-01-04,,INVALID,Negative tax_amount,Paid
I0000038,S000842,2026-01-01,2026-02-11,88117.24,14288.68,Failed,,Bank Transfer,VALID,No issues detected,Failed
I0000039,S001776,2024-07-08,2024-08-19,,7730.85,,,Card,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount; Missing payment_status,Nan
,S001164,2025-03-13,2025-03-02,74438.46,15589.81,Paid,2025-04-09,Bank Transfer,INVALID,Missing invoice_id,Paid
I0000041,S001063,2024-02-15,2024-03-20,98276.2,13441.56,,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000042,S000329,2025-10-09,2025-10-31,25754.74,614.4,Refunded,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000043,S000654,2024-12-27,2025-01-08,50347.5,13642.28,Pending,,Card,VALID,No issues detected,Pending
I0000044,S000724,2025-09-16,2025-10-24,113454.85,6949.99,Failed,2025-11-22,Card,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000045,S001305,2025-03-12,2025-04-13,110935.91,,,,Wallet,SUSPICIOUS,Missing payment_status,Nan
I0000046,S001595,2026-01-17,2026-01-26,97447.72,17428.51,Refunded,2026-02-13,,INVALID,Invoice references non-existent/invalid subscription,Refunded
,S001568,2025-05-30,2025-06-21,,17005.33,Pending,,Card,INVALID,Missing invoice_id; Missing invoice_amount,Pending
I0000048,S000050,2024-10-18,2024-11-14,119771.47,4165.84,,,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000049,S001328,2025-10-04,2025-11-08,-99198.93,-528.59,Failed,,Card,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount; Negative tax_amount,Failed
I0000050,S000927,2024-01-14,2024-01-23,19187.95,12870.67,Failed,2024-01-19,UPI,VALID,No issues detected,Failed
I0000051,S000361,2024-10-29,2024-12-08,53068.13,-4827.59,Paid,2024-12-13,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Paid
I0000052,S000447,2025-02-03,2025-03-10,39681.13,7789.76,Paid,2025-01-31,,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Paid
I0000053,S002263,2025-10-08,2025-10-30,27855.95,13551.5,Pending,,,VALID,No issues detected,Pending
I0000054,S000669,2025-03-31,2025-04-29,24339.37,2677.23,Pending,,UPI,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000055,S002169,2025-10-20,2025-11-08,6605.01,20590.3,,,Wallet,SUSPICIOUS,Missing payment_status,Nan
I0000056,S001493,2025-01-09,2025-01-30,85870.97,-171.76,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount; Missing payment_status,Nan
I0000057,S000697,2024-06-03,2024-05-29,29819.96,11022.9,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000058,S001915,2025-02-13,2025-03-08,17813.04,-1420.96,Pending,2025-02-13,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Pending
I0000059,S000635,2025-12-10,2026-01-24,69246.24,7161.97,Failed,,Card,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000060,S002261,2025-04-23,2025-05-31,91055.06,1237.78,Failed,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000061,S001171,2024-02-04,2024-03-14,12470.71,-1517.99,,,,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount; Missing payment_status,Nan
I0000062,S002374,2025-08-09,2025-09-17,-39529.93,5655.24,,2025-10-07,UPI,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount; Missing payment_status,Nan
I0000063,S000706,2024-08-09,2024-08-19,109475.12,24471.76,Refunded,,UPI,VALID,No issues detected,Refunded
I0000064,S000954,2025-01-27,2025-02-27,61867.13,-1900.92,Paid,2025-03-23,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Paid
I0000065,S001451,2024-01-06,2024-01-27,,12767.17,,,Bank Transfer,SUSPICIOUS,Missing invoice_amount; Missing payment_status,Nan
I0000066,S000309,2024-11-28,2024-12-27,,1896.82,Pending,,Bank Transfer,SUSPICIOUS,Missing invoice_amount,Pending
I0000067,S001852,2025-01-09,2025-01-26,47337.79,12248.17,Failed,2025-03-22,Wallet,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000068,S002359,2025-03-27,2025-04-13,53836.55,2947.62,Paid,2025-05-20,Bank Transfer,VALID,No issues detected,Paid
I0000069,S001015,2025-04-24,2025-05-14,107967.99,1545.06,Failed,,,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000070,S002201,2024-10-31,2024-12-11,6713.33,3384.97,Paid,2025-01-04,,VALID,No issues detected,Paid
I0000071,S000554,2025-11-20,2025-12-19,2100.09,1541.68,Paid,2025-11-12,Wallet,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Paid
I0000072,S002034,2025-06-06,2025-06-21,20003.89,7813.68,,,UPI,SUSPICIOUS,Missing payment_status,Nan
I0000073,S001027,2025-11-08,2025-11-17,37384.38,21089.93,Pending,2025-12-25,UPI,VALID,No issues detected,Pending
I0000074,S001137,2025-05-11,2025-05-28,-25009.74,24086.68,Paid,2025-06-11,,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount,Paid
I0000075,S000454,2024-02-24,2024-02-09,70380.03,10653.58,Paid,2024-04-21,,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000076,S000321,2025-04-11,2025-05-03,110239.31,,Pending,,Card,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000077,S001570,2024-03-16,2024-04-13,55432.39,6981.95,Paid,2024-04-29,,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000078,S000929,2025-02-09,2025-03-08,81037.99,20900.94,Paid,2025-04-15,Card,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000079,S000441,2025-12-10,2026-01-02,119749.63,4108.32,Failed,2026-02-18,Card,VALID,No issues detected,Failed
I0000080,S001939,2024-02-21,2024-04-01,1331.57,11585.05,Refunded,2024-03-22,Wallet,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000081,S001661,2025-10-27,2025-12-09,7057.9,2198.9,Pending,,,INVALID,Invoice references non-existent/invalid subscription,Pending
,S001149,2024-06-09,2024-06-29,26461.99,,Refunded,,,INVALID,Missing invoice_id,Refunded
I0000083,S001115,2025-04-09,2025-04-27,51403.68,8264.45,Refunded,2025-06-25,Bank Transfer,VALID,No issues detected,Refunded
I0000084,S001006,2024-06-17,2024-07-07,57818.21,9924.04,Pending,,Bank Transfer,VALID,No issues detected,Pending
I0000085,S000116,2024-08-24,2024-10-06,74351.98,15399.61,Paid,2024-09-24,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000086,S002273,2025-08-24,2025-09-03,2629.64,4882.05,,2025-09-14,Wallet,SUSPICIOUS,Missing payment_status,Nan
I0000087,S001866,2025-01-11,2025-02-16,7557.51,17157.43,Paid,2025-01-23,UPI,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000088,S001999,2026-01-01,2026-01-23,37584.12,6170.8,,,Card,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000089,S000807,2025-06-17,2025-07-14,61993.6,7098.59,Refunded,,Card,VALID,No issues detected,Refunded
I0000090,S000780,2025-10-12,2025-11-01,94928.84,1195.46,Failed,,Bank Transfer,VALID,No issues detected,Failed
I0000091,S000011,2024-04-28,2024-05-07,31412.19,4440.06,,2024-07-02,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000092,S000043,2025-02-16,2025-03-07,7446.81,10470.73,,,Wallet,SUSPICIOUS,Missing payment_status,Nan
I0000093,S000359,2024-02-28,2024-04-02,18077.19,3752.96,,,Card,SUSPICIOUS,Missing payment_status,Nan
I0000094,S002261,2024-05-25,2024-06-19,107384.44,19802.76,,,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000095,S001587,2025-03-07,2025-04-11,64693.68,17026.38,Refunded,2025-05-07,Wallet,VALID,No issues detected,Refunded
I0000096,S000350,2024-10-22,2024-12-03,29466.13,16883.21,Failed,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000097,S002252,2025-11-16,2025-12-10,107720.75,9519.0,Refunded,2025-12-03,Wallet,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000098,S000317,2025-04-27,2025-05-20,67361.6,18576.95,Paid,2025-05-31,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000099,S001568,2025-11-03,2025-11-11,69367.78,,Pending,,UPI,VALID,No issues detected,Pending
I0000100,S000225,2024-03-26,2024-05-08,88900.09,16943.9,Failed,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000101,S001921,2025-03-03,2025-04-16,89411.25,8692.47,Failed,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000102,S002279,2024-12-28,2025-01-20,45456.36,2037.13,Paid,2025-01-28,Card,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000103,S002224,2025-10-19,2025-11-06,25527.14,22958.66,Failed,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000104,S000872,2024-08-01,2024-08-13,-48240.53,15508.23,Failed,,Card,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount,Failed
I0000105,S001139,2025-05-24,2025-06-18,47147.25,,Failed,,Wallet,VALID,No issues detected,Failed
I0000106,S000083,2025-08-27,2025-09-09,90387.52,-255.6,Refunded,,Wallet,INVALID,Negative tax_amount,Refunded
,S000131,2024-11-23,2024-12-11,11363.92,13053.17,Paid,2024-12-04,Wallet,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription,Paid
I0000108,S000921,2025-12-25,2026-01-26,3035.29,18582.94,,,,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
,S001331,2025-01-15,2025-02-17,29922.6,17112.2,Refunded,,UPI,INVALID,Missing invoice_id,Refunded
I0000110,S000960,2024-01-14,2024-02-05,77938.28,22906.32,Paid,2024-01-13,,INVALID,Payment date earlier than invoice date,Paid
I0000111,S000431,2025-09-25,2025-10-08,2848.05,14300.72,Paid,2025-10-11,UPI,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000112,S002278,2024-08-19,2024-09-06,100899.64,461.7,Failed,,UPI,VALID,No issues detected,Failed
I0000113,S000964,2026-01-16,2026-01-10,32766.02,24638.51,Pending,,Card,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000114,S000622,2025-02-06,2025-02-19,101951.77,8492.09,Paid,2025-04-11,,VALID,No issues detected,Paid
I0000115,S001750,2024-04-25,2024-05-08,55748.75,1591.72,Failed,,Wallet,VALID,No issues detected,Failed
,S000712,2026-01-27,2026-03-04,59427.06,10638.16,Pending,,,INVALID,Missing invoice_id,Pending
I0000117,S001223,2025-06-09,2025-06-22,63619.65,18960.9,Paid,2025-07-31,Bank Transfer,VALID,No issues detected,Paid
I0000118,S000461,2025-06-15,2025-07-10,22111.75,7565.03,Paid,2025-06-24,Bank Transfer,VALID,No issues detected,Paid
I0000119,S000811,2025-12-02,2025-12-28,56866.34,7012.9,Pending,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000120,S001840,2025-12-28,2026-02-03,43202.41,5640.25,Failed,,Card,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000121,S000136,2025-11-30,2025-12-22,6313.77,20806.51,,,,SUSPICIOUS,Missing payment_status,Nan
I0000122,S000391,2025-12-20,2026-01-18,37715.92,22925.5,Refunded,2026-01-30,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000123,S000033,2024-01-11,2024-01-21,-49101.31,4208.65,Pending,,Card,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount,Pending
I0000124,S001714,2024-04-14,2024-04-23,-26222.95,836.85,Paid,2024-06-11,Card,INVALID,Negative invoice_amount,Paid
I0000125,S002294,2025-09-14,2025-10-12,5688.03,-2812.25,Refunded,2025-10-18,UPI,INVALID,Negative tax_amount,Refunded
,S000418,2024-05-25,2024-06-01,40145.01,10368.31,Refunded,2024-06-07,Card,INVALID,Missing invoice_id,Refunded
I0000127,S000434,2026-01-08,2026-02-07,48417.69,18674.71,Refunded,,,VALID,No issues detected,Refunded
I0000128,S001371,2025-03-03,2025-02-16,77108.48,-2705.49,,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount; Missing payment_status,Nan
I0000129,S000131,2024-11-18,2024-12-31,79168.0,21121.06,Failed,,,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000130,S000576,2025-09-18,2025-10-08,72243.47,2969.75,Refunded,2025-11-25,UPI,VALID,No issues detected,Refunded
I0000131,S000362,2024-08-07,2024-09-13,116190.11,24040.59,Paid,2024-09-06,UPI,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000132,S000227,2024-01-03,2024-01-28,109636.32,-916.41,Paid,2023-12-29,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount; Payment date earlier than invoice date,Paid
I0000133,S000209,2024-09-14,2024-09-29,31519.45,10293.12,Paid,2024-09-26,,VALID,No issues detected,Paid
I0000134,S001333,2025-06-22,2025-07-28,14420.84,16445.9,Paid,2025-08-25,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000135,S000970,2024-05-27,2024-07-03,85923.47,23766.69,,,,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000136,S001707,2024-10-16,2024-11-07,41897.6,8269.06,,,Card,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000137,S001917,2025-06-04,2025-06-27,38202.74,9165.08,Paid,2025-06-17,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000138,S000315,2025-06-25,2025-08-07,69113.09,20123.97,,,Wallet,SUSPICIOUS,Missing payment_status,Nan
I0000139,S001052,2024-10-20,2024-11-23,12451.15,-2231.92,Failed,2024-11-20,UPI,INVALID,Negative tax_amount,Failed
I0000140,S002166,2025-09-14,2025-10-25,76718.63,20547.68,,,Card,SUSPICIOUS,Missing payment_status,Nan
I0000141,S000968,2024-08-29,2024-09-22,63313.22,-2416.17,Refunded,,UPI,INVALID,Negative tax_amount,Refunded
I0000142,S000481,2026-01-09,2026-01-26,31983.85,12999.6,Pending,2026-03-24,UPI,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000143,S001016,2024-09-11,2024-09-30,10572.74,15240.38,,,Wallet,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000144,S001390,2025-02-25,2025-03-05,24988.65,10512.51,Paid,2025-02-23,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Paid
I0000145,S000338,2024-07-03,2024-08-11,116753.15,4834.76,,,,SUSPICIOUS,Missing payment_status,Nan
I0000146,S001490,2024-03-02,2024-04-15,98141.78,-1748.56,Failed,2024-05-03,UPI,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Failed
I0000147,S001031,2025-02-25,2025-03-19,41018.99,,,,Bank Transfer,SUSPICIOUS,Missing payment_status,Nan
I0000148,S000120,2024-12-07,2024-12-03,82420.22,1116.33,Refunded,,UPI,VALID,No issues detected,Refunded
I0000149,S000814,2025-11-18,2025-12-28,-59824.23,-911.85,Failed,,,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount; Negative tax_amount,Failed
I0000150,S001587,2025-02-28,2025-03-12,9349.65,19671.38,Refunded,,,VALID,No issues detected,Refunded
I0000151,S001101,2025-08-13,2025-09-20,31266.28,17169.42,Paid,2025-10-04,Card,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000152,S001551,2024-07-04,2024-07-30,12012.96,-1682.68,Pending,,Bank Transfer,INVALID,Negative tax_amount,Pending
I0000153,S001868,2025-01-10,2025-02-05,5692.41,20741.23,Failed,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000154,S001820,2025-07-05,2025-08-15,99756.51,13518.88,Paid,2025-08-07,Bank Transfer,VALID,No issues detected,Paid
I0000155,S000486,2025-06-06,2025-07-11,82232.87,21167.9,Paid,2025-08-11,Wallet,VALID,No issues detected,Paid
I0000156,S001658,2024-02-26,2024-03-18,113077.99,18395.48,Refunded,,,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000157,S000574,2025-05-21,2025-06-24,111151.87,17947.68,Refunded,,,VALID,No issues detected,Refunded
I0000158,S001196,2024-10-20,2024-11-29,,1667.08,Refunded,,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount,Refunded
I0000159,S000102,2025-12-13,2025-12-22,61293.07,23564.46,Failed,,Card,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000160,S001382,2025-07-18,2025-08-27,65694.23,-1310.54,Pending,2025-09-16,Wallet,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Pending
I0000161,S001582,2026-01-20,2026-02-08,,9068.7,Paid,2026-03-17,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount,Paid
I0000162,S001107,2024-10-29,2024-10-23,48005.3,14076.12,Paid,2024-12-21,UPI,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000163,S001652,2024-01-02,2023-12-26,78314.67,11119.58,Pending,2024-03-10,UPI,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000164,S000777,2024-02-05,2024-01-25,119858.92,3612.24,Failed,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000165,S002054,2024-10-15,2024-11-27,72987.33,4810.6,Paid,2024-11-29,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000166,S000025,2025-07-18,2025-07-09,-50902.0,16780.8,Failed,,Card,INVALID,Invoice references non-existent/invalid subscription; Negative invoice_amount,Failed
I0000167,S002187,2025-05-12,2025-04-28,70634.88,2343.4,Failed,2025-05-16,,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000168,S001194,2024-01-14,2024-02-17,25804.97,6249.74,Refunded,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000169,S000107,2025-03-18,2025-04-13,,19761.78,,2025-03-08,UPI,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount; Missing payment_status; Payment date earlier than invoice date,Nan
I0000170,S000747,2024-03-08,2024-04-09,68997.59,6154.12,Pending,,,VALID,No issues detected,Pending
I0000171,S000815,2024-09-13,2024-10-02,57456.75,7975.48,Failed,,,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000172,S000213,2024-04-28,2024-05-24,119426.62,7997.79,Pending,2024-05-21,UPI,VALID,No issues detected,Pending
I0000173,S001374,2025-11-02,2025-12-07,16140.12,24877.21,Refunded,,UPI,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000174,S002193,2024-09-09,2024-09-29,119708.96,,,,Card,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000175,S000655,2024-07-07,2024-07-30,55884.68,736.3,Paid,2024-07-18,Card,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000176,S000431,2025-07-10,2025-08-01,92986.06,7349.15,Refunded,,Card,INVALID,Invoice references non-existent/invalid subscription,Refunded
I0000177,S000391,2025-08-10,2025-09-17,116219.08,12598.22,Failed,,UPI,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000178,S000958,2025-11-05,2025-11-04,92297.35,20145.44,Paid,2025-12-10,Wallet,INVALID,Invoice references non-existent/invalid subscription,Paid
I0000179,S000553,2025-04-21,2025-05-02,88889.26,-432.22,Refunded,,UPI,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Refunded
I0000180,S001324,2025-06-26,2025-07-21,11227.08,-3366.92,,2025-08-09,Card,INVALID,Negative tax_amount; Missing payment_status,Nan
I0000181,S000624,2024-10-09,2024-09-24,18017.42,9551.76,,2024-12-16,Wallet,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
I0000182,S000154,2026-01-26,2026-02-06,99382.47,20328.88,Refunded,,Bank Transfer,VALID,No issues detected,Refunded
I0000183,S000882,2024-09-08,2024-08-27,,14973.22,Paid,2024-10-25,Card,INVALID,Invoice references non-existent/invalid subscription; Missing invoice_amount,Paid
I0000184,S001200,2025-02-19,2025-03-06,72812.5,7679.35,,,Wallet,SUSPICIOUS,Missing payment_status,Nan
,S000995,2025-01-26,2025-02-22,-58854.89,13576.2,Paid,2025-04-04,Card,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription; Negative invoice_amount,Paid
I0000186,S002263,2024-05-30,2024-07-13,92772.03,11373.79,Refunded,2024-07-24,Bank Transfer,VALID,No issues detected,Refunded
I0000187,S001889,2024-02-19,2024-03-20,54326.8,8305.42,Failed,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000188,S000471,2025-08-24,2025-10-06,60500.15,1997.49,Paid,2025-08-15,Wallet,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Paid
I0000189,S002074,2025-08-12,2025-08-24,72537.0,-2602.16,Failed,2025-10-11,Card,INVALID,Invoice references non-existent/invalid subscription; Negative tax_amount,Failed
I0000190,S000122,2025-03-02,2025-04-08,32287.49,10112.5,Pending,,Card,INVALID,Invoice references non-existent/invalid subscription,Pending
I0000191,S000627,2024-05-21,2024-06-26,75443.26,8465.6,Failed,,Wallet,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000192,S001375,2026-01-13,2026-02-07,100058.97,17304.06,Failed,,Card,INVALID,Invoice references non-existent/invalid subscription,Failed
I0000193,S002356,2025-12-24,2026-01-27,35800.65,,Paid,2025-12-19,,INVALID,Invoice references non-existent/invalid subscription; Payment date earlier than invoice date,Paid
I0000194,S001224,2024-12-29,2025-02-04,30461.78,-3628.17,Failed,2025-01-01,Bank Transfer,INVALID,Negative tax_amount,Failed
I0000195,S000585,2024-04-14,2024-04-21,39242.84,17624.94,Failed,,UPI,INVALID,Invoice references non-existent/invalid subscription,Failed
,S001825,2024-12-08,2024-12-19,73340.26,9061.65,Paid,2024-12-19,Wallet,INVALID,Missing invoice_id; Invoice references non-existent/invalid subscription,Paid
I0000197,S001434,2024-08-26,2024-10-08,103394.63,17993.29,,,Bank Transfer,INVALID,Invoice references non-existent/invalid subscription; Missing payment_status,Nan
