customer_id,MRR,effective_monthly_revenue,payment_failure_rate,usage_intensity_score,support_escalation_rate,average_csat,renewal_risk_score,region,plan_name,sales_channel,subscription_status_norm,customer_health_score,risk_category
C00065,0.0,0.0,0.0,40.18,0.0,2.9705882352941178,40.0,West,Pro,Inside Sales,Trial,68.44,Watchlist
C00066,0.0,0.0,0.0,51.9,0.0,2.9705882352941178,75.0,South,Growth,Inside Sales,Expired,62.62,Watchlist
C00067,0.0,0.0,0.0,0.0,0.0,1.0,15.0,East,Basic,Inside Sales,Trial,59.04,Watchlist
C00069,13849.641599999997,0.0,0.0,44.19,0.0,3.0,15.0,West,,Inside Sales,Active,80.62,Healthy
C00075,43173.43,0.0,0.0,57.55,0.0,3.0,25.0,East,Pro,Website,Active,81.46,Healthy
C00079,0.0,0.0,1.0,46.73,0.0,2.9705882352941178,63.33,South,Enterprise,Website,Cancelled,39.25,High Risk
C00082,0.0,0.0,0.0,70.65,0.0,2.9705882352941178,40.0,North,Growth,Marketplace,Nan,76.06,Healthy
C00084,60876.76,0.0,0.25,29.05,0.0,2.9705882352941178,43.33,South,Basic,Marketplace,Active,58.58,Watchlist
C00091,0.0,0.0,0.0,40.2,1.0,2.0,40.0,,Enterprise,Partner,Nan,50.98,Watchlist
C00095,0.0,0.0,0.0,0.0,0.0,2.9705882352941178,75.0,,Growth,Website,Cancelled,49.65,Watchlist
C00098,10260.789,0.0,0.0,58.08,0.0,2.9705882352941178,40.0,East,Basic,,Nan,72.92,Healthy
C00101,24979.8168,0.0,0.0,58.46,0.0,5.0,0.0,,,Partner,Active,89.34,Healthy
C00103,40214.97,0.0,0.0,60.24,0.0,2.0,70.0,North,Enterprise,,Cancelled,60.99,Watchlist
C00105,0.0,0.0,0.5,46.81,0.0,2.9705882352941178,27.5,North,,,Nan,60.72,Watchlist
C00108,0.0,0.0,0.0,52.56,0.0,2.9705882352941178,40.0,,Enterprise,,Trial,71.54,Healthy
C00110,0.0,0.0,0.3333333333333333,58.82,0.0,2.9705882352941178,75.0,West,Growth,Marketplace,Cancelled,56.02,Watchlist
C00114,0.0,0.0,0.0,43.04,0.0,2.9705882352941178,40.0,Central,,Website,Trial,69.16,Watchlist
C00115,0.0,0.0,0.5,51.99,0.0,2.9705882352941178,0.0,South,,Website,Nan,68.89,Watchlist
C00119,0.0,115635.92,0.0,60.85,0.0,5.0,100.0,East,,Partner,Cancelled,64.94,Watchlist
C00122,0.0,0.0,0.0,41.36,0.0,2.9705882352941178,75.0,West,Enterprise,Marketplace,Cancelled,59.99,Watchlist
C00123,0.0,0.0,0.16666666666666666,58.77,0.0,2.9705882352941178,57.5,Central,Enterprise,Inside Sales,Nan,64.55,Watchlist
C00125,0.0,110019.95,0.0,0.0,0.0,2.9705882352941178,27.5,East,Growth,Website,Nan,61.52,Watchlist
C00128,0.0,0.0,0.0,21.1,0.0,1.0,100.0,South,,Partner,Expired,43.07,Watchlist
C00132,75862.28,0.0,0.0,0.0,0.0,2.9705882352941178,15.0,Central,Growth,Partner,Active,64.65,Watchlist
C00133,0.0,63994.39,0.0,48.42,0.0,2.9705882352941178,15.0,East,,,Nan,76.75,Healthy
C00134,0.0,0.0,0.0,43.51,0.0,2.9705882352941178,15.0,Central,Basic,,Trial,75.52,Healthy
C00136,0.0,101327.62,0.0,77.18,0.0,2.9705882352941178,40.0,West,Growth,Inside Sales,Trial,77.69,Healthy
C00138,43746.15,0.0,0.0,33.74,0.0,2.9705882352941178,40.0,,Pro,Partner,Active,66.83,Watchlist
C00140,0.0,75542.05,0.0,0.0,0.0,2.9705882352941178,85.0,North,Pro,Partner,Cancelled,47.15,Watchlist
C00141,0.0,0.0,0.0,48.27,1.0,2.0,40.0,Central,Pro,Inside Sales,Nan,52.99,Watchlist
C00143,22144.0466,0.0,0.0,63.0,0.0,4.0,25.0,East,Enterprise,Inside Sales,Active,83.63,Healthy
C00149,0.0,0.0,0.0,0.0,0.0,3.0,75.0,,Growth,Website,Expired,54.57,Watchlist
C00151,4674.8502,0.0,0.0,62.9,0.0,2.9705882352941178,15.0,South,,Marketplace,Active,80.37,Healthy
C00156,0.0,0.0,0.0,42.95,0.0,1.0,40.0,North,Enterprise,,Trial,63.53,Watchlist
C00161,75687.71,18267.39,0.0,62.03,0.0,2.0,57.5,East,Pro,Marketplace,Active,64.56,Watchlist
C00162,1203.46,0.0,0.0,42.07,0.0,3.0,40.0,North,Growth,Marketplace,Active,73.84,Healthy
C00163,0.0,0.0,0.0,34.78,0.0,2.9705882352941178,100.0,South,Pro,Website,Cancelled,52.09,Watchlist
C00166,0.0,31168.8,0.0,82.16,0.0,2.9705882352941178,75.0,Central,Enterprise,Website,Cancelled,70.19,Healthy
C00171,0.0,62408.58,0.0,83.17,0.0,2.9705882352941178,45.0,South,Pro,Partner,Cancelled,77.94,Healthy
C00172,13267.8156,90829.87,0.0,62.75,0.0,2.9705882352941178,63.75,,Enterprise,Inside Sales,Cancelled,68.15,Watchlist
C00174,1354.0592000000001,0.0,0.5,65.71,0.0,2.9705882352941178,40.0,North,Enterprise,Website,Active,62.32,Watchlist
C00176,0.0,108957.31,0.0,46.85,0.0,2.9705882352941178,100.0,West,Enterprise,,Cancelled,55.11,Watchlist
C00178,0.0,0.0,0.5,0.0,1.0,4.0,40.0,North,Pro,Inside Sales,Active,39.13,High Risk
C00179,0.0,0.0,1.0,46.96,0.0,2.9705882352941178,40.0,Central,Pro,,Active,45.14,Watchlist
C00180,0.0,0.0,0.0,50.38,0.0,2.9705882352941178,75.0,North,Enterprise,Website,Expired,62.24,Watchlist
C00181,0.0,0.0,0.0,58.68,0.0,2.9705882352941178,57.5,South,,Inside Sales,Cancelled,68.69,Watchlist
C00188,0.0,37907.96,0.0,23.11,0.0,2.9705882352941178,100.0,West,,Partner,Expired,49.17,Watchlist
C00194,0.0,25759.4,0.0,55.12,0.0,2.9705882352941178,40.0,Central,Pro,,Trial,72.18,Healthy
C00201,0.0,0.0,0.0,35.71,0.0,2.9705882352941178,40.0,West,Pro,Partner,Trial,67.32,Watchlist
C00205,0.0,0.0,0.0,49.78,0.0,2.9705882352941178,75.0,East,Growth,,Cancelled,62.09,Watchlist
C00207,0.0,0.0,1.0,71.33,0.0,4.0,100.0,East,Growth,,Cancelled,41.96,Watchlist
C00210,60497.26,0.0,0.0,49.4,0.0,2.9705882352941178,15.0,South,Pro,,Active,77.0,Healthy
C00215,30381.4,41278.57,0.0,51.78,0.0,3.0,71.67,East,Pro,,Expired,68.35,Watchlist
C00219,0.0,0.0,0.0,72.37,0.0,2.9705882352941178,100.0,,Growth,Website,Cancelled,61.49,Watchlist
C00224,0.0,0.0,0.0,67.27,0.0,2.9705882352941178,40.0,East,,Website,Nan,75.21,Healthy
C00225,77337.35,76273.0,0.0,65.42,0.0,2.9705882352941178,27.5,North,,Inside Sales,Active,77.88,Healthy
C00228,23578.03,0.0,0.0,36.84,0.0,2.0,40.0,West,Enterprise,Marketplace,Active,62.64,Watchlist
C00229,0.0,0.0,0.6666666666666666,0.0,0.0,4.0,40.0,East,,Partner,Trial,47.46,Watchlist
C00230,0.0,0.0,0.0,48.59,1.0,3.0,0.0,South,,Inside Sales,Nan,72.97,Healthy
C00234,0.0,0.0,0.0,58.09,0.0,2.9705882352941178,15.0,Central,Basic,Inside Sales,Nan,79.17,Healthy
C00235,0.0,0.0,0.0,47.21,0.0,2.9705882352941178,40.0,,Growth,Marketplace,Nan,70.2,Healthy
C00237,0.0,0.0,1.0,0.0,0.5,2.5,100.0,Central,Pro,,Cancelled,7.57,High Risk
C00238,0.0,0.0,1.0,54.34,1.0,2.9705882352941178,40.0,Central,Pro,Website,Trial,34.48,High Risk
C00241,0.0,0.0,0.0,43.09,0.0,2.9705882352941178,100.0,North,Growth,Partner,Cancelled,54.17,Watchlist
C00242,0.0,0.0,0.5,0.0,0.0,1.0,87.5,,Growth,,Expired,28.42,High Risk
C00250,0.0,58834.97,0.0,64.25,0.0,4.0,100.0,,,,Cancelled,65.19,Watchlist
C00251,0.0,0.0,0.0,48.28,0.0,2.9705882352941178,40.0,Central,Basic,,Nan,70.47,Healthy
C00253,0.0,0.0,0.0,51.48,0.0,4.0,15.0,Central,Basic,Inside Sales,Nan,83.25,Healthy
C00254,0.0,0.0,0.0,0.0,0.0,2.9705882352941178,15.0,Central,,Website,Nan,64.65,Watchlist
C00256,0.0,2174.14,0.0,36.35,0.0,2.9705882352941178,15.0,,Growth,,Nan,73.73,Healthy
C00257,0.0,20173.49,0.4,39.18,0.0,2.9705882352941178,15.0,North,Pro,Website,Nan,64.44,Watchlist
C00258,0.0,0.0,0.5,31.46,0.0,3.0,100.0,South,Enterprise,Website,Cancelled,43.69,Watchlist
C00259,0.0,36147.96,0.0,40.71,0.0,2.9705882352941178,100.0,,Pro,Marketplace,Expired,53.57,Watchlist
C00260,39646.9371,0.0,0.5,51.86,0.0,2.9705882352941178,40.0,East,,Partner,Active,58.86,Watchlist
C00264,0.0,0.0,0.0,29.48,0.0,2.9705882352941178,100.0,South,Basic,Website,Expired,50.77,Watchlist
C00266,0.0,105673.55,0.5,82.55,0.0,2.9705882352941178,40.0,South,Basic,Marketplace,Trial,66.53,Watchlist
C00269,0.0,0.0,0.0,62.35,0.0,2.9705882352941178,40.0,,Basic,Marketplace,Nan,73.98,Healthy
C00270,0.0,0.0,0.0,48.67,0.0,2.9705882352941178,40.0,Central,Pro,,Trial,70.56,Healthy
C00271,0.0,0.0,0.0,39.97,1.0,1.0,40.0,East,,Website,Nan,50.29,Watchlist
C00272,10307.5154,47571.98,0.0,33.17,0.0,2.9705882352941178,70.0,South,Pro,Inside Sales,Expired,59.19,Watchlist
C00273,0.0,0.0,0.16666666666666666,42.02,0.0,2.9705882352941178,25.0,East,Growth,Inside Sales,Nan,68.48,Watchlist
C00277,0.0,93372.51,0.0,64.57,0.0,2.9705882352941178,27.5,Central,Pro,Partner,Nan,77.66,Healthy
C00280,0.0,0.0,0.0,48.45,0.0,5.0,100.0,,Pro,,Expired,61.84,Watchlist
C00281,0.0,0.0,0.0,56.92,0.0,2.9705882352941178,40.0,,Growth,Marketplace,Trial,72.63,Healthy
C00282,0.0,0.0,0.0,64.6,0.0,2.9705882352941178,40.0,West,Basic,Partner,Trial,74.55,Healthy
C00283,4069.61,0.0,0.0,74.02,0.0,2.9705882352941178,40.0,East,Pro,,Active,76.9,Healthy
C00287,0.0,0.0,0.0,46.87,0.0,3.0,45.0,West,Basic,Inside Sales,Expired,73.79,Healthy
C00289,79806.89,19414.22,0.0,44.64,0.0,2.9705882352941178,15.0,South,Enterprise,Marketplace,Active,75.81,Healthy
C00290,10530.690799999998,0.0,0.0,44.63,0.0,2.9705882352941178,40.0,East,Enterprise,Website,Trial,69.55,Watchlist
C00291,77774.81,0.0,0.0,63.55,0.0,2.9705882352941178,40.0,East,Growth,Marketplace,Active,74.28,Healthy
C00292,0.0,0.0,0.16666666666666666,35.16,0.0,2.9705882352941178,0.0,North,Pro,Website,Nan,73.02,Healthy
C00294,0.0,0.0,0.0,33.75,0.0,2.9705882352941178,40.0,East,Basic,,Trial,66.83,Watchlist
C00296,0.0,0.0,0.0,48.0,0.0,2.9705882352941178,40.0,Central,Basic,Website,Trial,70.4,Healthy
C00304,0.0,16187.73,0.0,0.0,0.0,2.9705882352941178,60.0,,Basic,Partner,Cancelled,53.4,Watchlist
C00307,0.0,43728.31,0.0,53.97,0.0,2.9705882352941178,40.0,North,Pro,Partner,Trial,71.89,Healthy
C00310,0.0,0.0,0.5,75.18,0.0,2.9705882352941178,40.0,West,Enterprise,Website,Trial,64.69,Watchlist
C00314,0.0,0.0,0.0,36.8,0.0,2.9705882352941178,75.0,North,Basic,Partner,Expired,58.85,Watchlist
C00315,0.0,0.0,0.0,64.32,0.0,2.9705882352941178,100.0,North,Enterprise,Marketplace,Expired,59.48,Watchlist
C00320,0.0,0.0,0.0,29.35,0.0,2.9705882352941178,85.0,South,Enterprise,Inside Sales,Expired,54.48,Watchlist
C00321,60887.1674,42359.19,0.0,49.45,0.0,2.9705882352941178,60.0,East,Basic,Marketplace,Active,65.76,Watchlist
C00323,0.0,0.0,0.0,0.0,0.0,2.0,0.0,South,Growth,Marketplace,Trial,63.43,Watchlist
C00326,0.0,0.0,0.0,63.9,0.0,2.9705882352941178,85.0,South,Basic,Partner,Cancelled,63.12,Watchlist
C00327,0.0,0.0,0.0,68.19,0.0,2.9705882352941178,15.0,East,Enterprise,Marketplace,Trial,81.69,Healthy
C00328,0.0,0.0,1.0,0.0,0.0,2.9705882352941178,87.5,,Enterprise,Inside Sales,Expired,21.52,High Risk
C00329,0.0,0.0,0.0,38.21,0.0,2.9705882352941178,15.0,Central,Basic,Partner,Nan,74.2,Healthy
C00330,19772.619000000002,0.0,1.0,0.0,0.0,3.0,40.0,,,Inside Sales,Active,38.32,High Risk
C00331,0.0,56486.56,0.0,0.0,0.0,2.9705882352941178,57.5,,,Marketplace,Cancelled,54.02,Watchlist
C00332,0.0,0.0,0.0,53.78,0.0,2.9705882352941178,57.5,East,Growth,Website,Cancelled,67.47,Watchlist
C00333,3836.7,0.0,0.0,50.06,0.0,2.9705882352941178,40.0,,Basic,Website,Active,70.91,Healthy
C00336,0.0,0.0,0.0,55.37,0.0,3.0,100.0,Central,Growth,Inside Sales,Cancelled,62.16,Watchlist
C00337,0.0,0.0,0.0,36.17,0.0,2.9705882352941178,40.0,,Pro,Partner,Nan,67.44,Watchlist
C00338,0.0,0.0,0.0,66.96,0.0,2.9705882352941178,25.0,,Enterprise,Website,Trial,78.89,Healthy
C00339,0.0,72142.2,0.0,83.19,0.0,2.9705882352941178,15.0,,,Inside Sales,Active,85.44,Healthy
C00340,0.0,0.0,0.0,62.3,0.0,2.9705882352941178,40.0,South,Basic,Inside Sales,Nan,73.97,Healthy
C00346,0.0,0.0,0.0,45.0,0.0,2.9705882352941178,75.0,North,Pro,Partner,Expired,60.9,Watchlist
C00352,0.0,0.0,0.0,71.6,0.0,2.9705882352941178,15.0,West,Enterprise,Website,Active,82.55,Healthy
C00356,0.0,34246.03,0.3333333333333333,59.92,0.0,2.9705882352941178,70.0,North,Enterprise,Inside Sales,Cancelled,57.54,Watchlist
C00357,0.0,24291.95,0.0,41.57,0.0,2.9705882352941178,40.0,West,Enterprise,Inside Sales,Nan,68.79,Watchlist
C00359,0.0,0.0,0.0,38.13,0.0,2.9705882352941178,15.0,Central,Growth,Website,Trial,74.18,Healthy
C00364,0.0,0.0,0.0,68.99,0.0,2.9705882352941178,40.0,East,Pro,,Trial,75.64,Healthy
C00366,0.0,0.0,0.5,30.45,0.0,2.0,100.0,North,Growth,Partner,Expired,33.54,High Risk
C00369,0.0,0.0,0.0,0.0,0.0,2.9705882352941178,40.0,West,,,Nan,58.4,Watchlist
C00379,0.0,0.0,0.0,0.0,0.0,3.0,100.0,Central,Growth,,Cancelled,48.32,Watchlist
C00382,0.0,0.0,0.0,49.05,0.0,2.9705882352941178,40.0,,Pro,,Active,70.66,Healthy
C00383,0.0,0.0,0.0,63.2,0.0,2.9705882352941178,15.0,Central,Pro,Website,Nan,80.45,Healthy
C00384,445.7820000000001,0.0,0.0,50.59,0.0,2.9705882352941178,40.0,West,Enterprise,Marketplace,Active,71.04,Healthy
C00385,0.0,0.0,1.0,0.0,0.0,2.9705882352941178,87.5,,Enterprise,Website,Expired,21.52,High Risk
C00391,70197.469,59506.6,0.0,50.1,0.0,2.0,40.0,,Growth,,Active,65.95,Watchlist
C00392,0.0,0.0,0.0,57.35,0.0,2.9705882352941178,15.0,North,Pro,Inside Sales,Trial,78.98,Healthy
C00393,35698.74,0.0,0.5,22.46,0.0,1.0,25.0,West,Growth,Website,Active,49.66,Watchlist
C00397,0.0,0.0,1.0,39.94,0.0,2.9705882352941178,100.0,West,Pro,Marketplace,Expired,28.38,High Risk
C00398,0.0,0.0,0.0,44.53,0.0,2.9705882352941178,100.0,South,,Partner,Cancelled,54.53,Watchlist
C00400,0.0,0.0,0.0,71.77,0.0,2.9705882352941178,25.0,North,Pro,Website,Trial,80.09,Healthy
C00407,0.0,0.0,0.0,25.66,0.0,2.9705882352941178,70.0,South,Basic,Partner,Nan,57.31,Watchlist
C00408,0.0,0.0,0.0,65.77,0.0,2.9705882352941178,60.0,,Growth,,Cancelled,69.84,Watchlist
C00413,0.0,0.0,0.0,59.43,0.0,2.9705882352941178,57.5,,Basic,Website,Cancelled,68.88,Watchlist
C00414,0.0,0.0,0.0,49.93,1.0,3.0,100.0,Central,Basic,,Cancelled,48.3,Watchlist
C00417,0.0,0.0,0.0,31.26,0.0,2.9705882352941178,100.0,Central,Growth,Website,Cancelled,51.21,Watchlist
C00418,85816.4468,115525.02,0.0,29.71,0.0,2.0,55.0,East,Pro,,Trial,57.1,Watchlist
C00421,0.0,0.0,0.0,58.22,0.0,2.9705882352941178,27.5,West,Basic,Website,Trial,76.08,Healthy
C00422,0.0,0.0,1.0,62.09,0.0,2.9705882352941178,57.5,South,Basic,Website,Nan,44.54,Watchlist
C00424,0.0,0.0,0.0,40.87,0.0,2.9705882352941178,40.0,South,Pro,Inside Sales,Nan,68.61,Watchlist
C00426,0.0,0.0,0.3333333333333333,55.1,0.0,2.9705882352941178,40.0,South,Pro,,Nan,63.84,Watchlist
C00431,0.0,0.0,0.0,60.03,0.0,2.9705882352941178,15.0,South,Enterprise,,Nan,79.65,Healthy
C00433,0.0,0.0,0.0,42.71,0.0,4.0,100.0,East,Pro,,Cancelled,59.8,Watchlist
C00434,0.0,88583.68,0.0,34.5,0.0,2.9705882352941178,40.0,Central,,Inside Sales,Trial,67.02,Watchlist
C00435,0.0,0.0,0.0,79.98,0.0,2.9705882352941178,40.0,,Enterprise,Partner,Trial,78.39,Healthy
C00437,57426.02,0.0,0.0,36.52,0.0,2.9705882352941178,25.0,Central,,Marketplace,Active,71.28,Healthy
C00439,0.0,0.0,0.5,37.72,0.0,2.9705882352941178,40.0,East,Basic,Website,Trial,55.33,Watchlist
C00440,0.0,0.0,0.0,30.01,0.0,2.9705882352941178,15.0,North,Pro,Inside Sales,Trial,72.15,Healthy
C00442,52925.32,0.0,0.0,65.38,0.0,2.9705882352941178,57.5,West,Basic,Partner,Active,70.37,Healthy
C00443,67363.82,68084.495,0.3333333333333333,0.0,0.0,1.0,31.67,,,Partner,Nan,46.54,Watchlist
C00445,12857.8301,0.0,0.0,34.56,0.0,2.9705882352941178,25.0,North,Enterprise,Inside Sales,Active,70.79,Healthy
C00448,50973.7616,0.0,0.0,40.06,0.0,2.0,40.0,,Pro,Inside Sales,Active,63.44,Watchlist
C00453,0.0,0.0,0.0,59.05,0.0,2.9705882352941178,15.0,West,Pro,Partner,Trial,79.41,Healthy
C00456,0.0,0.0,0.0,58.72,0.0,2.9705882352941178,100.0,,Basic,Inside Sales,Cancelled,58.08,Watchlist
C00457,0.0,0.0,0.0,44.53,1.0,2.9705882352941178,40.0,East,,Marketplace,Nan,57.03,Watchlist
C00462,0.0,0.0,0.0,46.36,0.0,3.5,85.0,North,Pro,,Expired,64.13,Watchlist
C00463,0.0,0.0,0.0,43.68,0.0,5.0,75.0,East,Enterprise,Partner,Expired,66.89,Watchlist
C00465,0.0,0.0,0.0,0.0,0.0,2.9705882352941178,100.0,East,Pro,,Cancelled,43.4,Watchlist
C00466,0.0,0.0,0.0,43.4,0.0,2.9705882352941178,100.0,South,,,Cancelled,54.25,Watchlist
C00467,37457.0998,12854.884999999998,0.0,53.56,0.0,2.9705882352941178,40.0,West,Enterprise,Website,Active,71.79,Healthy
C00468,0.0,0.0,0.0,64.97,0.0,2.9705882352941178,40.0,Central,Growth,Website,Nan,74.64,Healthy
C00470,0.0,39260.91,0.0,48.52,0.0,1.0,100.0,South,Enterprise,Website,Expired,49.92,Watchlist
C00471,0.0,0.0,0.0,62.93,0.0,2.9705882352941178,100.0,South,Enterprise,Website,Expired,59.13,Watchlist
C00472,1674.28,42294.12,0.5,60.65,0.0,2.9705882352941178,15.0,Central,Growth,,Active,67.31,Watchlist
C00477,0.0,36860.63,0.0,49.29,0.0,2.0,15.0,,Enterprise,Partner,Nan,72.0,Healthy
C00478,31946.4328,0.0,1.0,42.26,0.0,2.9705882352941178,45.0,West,Basic,,Active,42.71,Watchlist
C00481,0.0,49290.775,0.0,56.44,0.0,2.9705882352941178,70.0,Central,Growth,Marketplace,Trial,65.01,Watchlist
C00483,4010.184,0.0,0.0,54.33,0.0,2.9705882352941178,15.0,West,Basic,Inside Sales,Active,78.23,Healthy
C00484,0.0,0.0,0.0,0.0,1.0,4.0,100.0,Central,Basic,Partner,Expired,36.63,High Risk
C00485,0.0,0.0,0.0,51.51,0.0,2.9705882352941178,100.0,Central,Enterprise,Marketplace,Cancelled,56.27,Watchlist
C00486,0.0,0.0,0.0,27.66,0.0,2.9705882352941178,100.0,North,Enterprise,Website,Cancelled,50.31,Watchlist
C00492,0.0,0.0,0.0,39.71,0.0,2.5,15.0,Central,Pro,Inside Sales,Nan,70.0,Watchlist
C00493,0.0,99591.8,0.0,37.61,1.0,1.0,15.0,,Enterprise,Marketplace,Nan,55.95,Watchlist
C00498,0.0,9555.62,0.0,0.0,0.0,2.9705882352941178,100.0,South,,,Cancelled,43.4,Watchlist
C00506,0.0,0.0,0.0,0.0,0.0,2.9705882352941178,25.0,South,Enterprise,Inside Sales,Nan,62.15,Watchlist
C00507,0.0,97385.13,0.0,54.64,0.0,4.0,40.0,North,Growth,Marketplace,Trial,77.79,Healthy
C00509,0.0,0.0,0.0,49.43,0.0,2.9705882352941178,75.0,,Enterprise,Website,Cancelled,62.0,Watchlist
C00510,0.0,0.0,0.0,0.0,0.0,3.5,40.0,,Pro,,Nan,63.79,Watchlist
C00513,0.0,0.0,0.0,57.15,0.0,2.0,75.0,West,Growth,Inside Sales,Expired,58.96,Watchlist
C00516,0.0,0.0,0.0,50.11,0.0,2.9705882352941178,100.0,South,Basic,Inside Sales,Cancelled,55.92,Watchlist
C00521,0.0,5574.26,0.0,39.43,0.0,2.9705882352941178,100.0,South,Basic,,Cancelled,53.25,Watchlist
C00525,0.0,54295.46,0.2,0.0,0.0,2.9705882352941178,63.33,South,Growth,,Active,47.56,Watchlist
C00528,63498.06,0.0,0.0,49.35,0.0,2.9705882352941178,40.0,North,Basic,,Active,70.73,Healthy
C00529,24477.4748,0.0,0.0,0.0,0.0,2.9705882352941178,0.0,,,,Active,68.4,Watchlist
C00530,0.0,21891.98,0.0,81.7,0.0,2.9705882352941178,0.0,North,Pro,Partner,Trial,88.82,Healthy
C00532,0.0,48036.25,0.0,34.03,0.0,2.9705882352941178,25.0,East,Basic,Website,Trial,70.65,Healthy
C00533,0.0,0.0,0.0,48.89,0.0,2.9705882352941178,15.0,West,Growth,Marketplace,Nan,76.87,Healthy
C00534,0.0,102130.98,0.0,45.75,0.0,4.0,40.0,West,Enterprise,,Trial,75.56,Healthy
C00535,6232.2489000000005,0.0,0.0,60.71,0.0,2.9705882352941178,31.67,North,,Inside Sales,Trial,75.66,Healthy
C00538,0.0,0.0,0.0,0.0,0.0,2.9705882352941178,40.0,South,Pro,,Nan,58.4,Watchlist
C00539,43759.604,0.0,0.0,66.45,0.0,2.9705882352941178,40.0,East,,Inside Sales,Active,75.01,Healthy
C00544,0.0,0.0,1.0,14.69,0.0,2.9705882352941178,100.0,South,,Inside Sales,Expired,22.07,High Risk
C00547,0.0,0.0,0.0,44.75,0.0,2.9705882352941178,75.0,East,Enterprise,Marketplace,Cancelled,60.83,Watchlist
C00549,0.0,0.0,0.0,62.23,0.0,3.0,40.0,,Pro,Marketplace,Trial,78.88,Healthy
C00550,0.0,0.0,0.5,54.11,0.0,3.0,40.0,East,Pro,Inside Sales,Nan,64.35,Watchlist
C00553,0.0,0.0,0.0,55.33,0.0,2.9705882352941178,100.0,,Enterprise,Marketplace,Cancelled,57.23,Watchlist
C00555,0.0,0.0,0.0,46.95,0.0,2.9705882352941178,75.0,South,Enterprise,Website,Cancelled,61.38,Watchlist
C00560,0.0,0.0,0.0,43.57,0.0,2.9705882352941178,100.0,West,,Inside Sales,Cancelled,54.29,Watchlist
C00561,0.0,0.0,0.3333333333333333,60.64,0.0,4.0,40.0,Central,Enterprise,Website,Trial,70.95,Healthy
C00566,0.0,0.0,0.0,0.0,0.0,2.9705882352941178,75.0,,Enterprise,,Cancelled,49.65,Watchlist
C00568,0.0,0.0,1.0,42.51,0.0,2.9705882352941178,75.0,,Pro,,Expired,35.27,High Risk
C00571,19702.9792,0.0,0.0,0.0,0.0,2.9705882352941178,40.0,East,Pro,,Active,58.4,Watchlist
