case_id,customer_id,opened_date,closed_date,priority,case_type,case_status,resolution_hours,csat_score,refund_requested,record_status,status_reason,case_status_norm
CS000033,C00636,2025-12-11,2025-12-24 19:00:00,,Billing,,,7.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000034,C00764,2024-01-25,2024-02-26 00:00:00,,Cancellation,Escalated,690.0,6.0,N,INVALID,CSAT score outside 1-5 range,Escalated
CS000035,C00633,2024-04-13,2024-04-20 00:00:00,Medium,Data Issue,Open,,2.0,N,VALID,No issues detected,Open
CS000036,C00330,2025-10-10,2025-10-10 02:00:00,High,Access,Pending,208.0,3.0,Y,VALID,No issues detected,Pending
CS000037,C01139,2025-04-08,2025-04-18 01:00:00,Low,Data Issue,Escalated,-21.0,6.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Escalated
CS000038,C01301,2024-09-07,,,Cancellation,,558.0,4.0,,SUSPICIOUS,Missing case_status,Nan
CS000039,C00362,2024-08-26,2024-09-24 20:00:00,,,Open,785.0,1.0,,INVALID,Support case references customer not in subscriptions,Open
CS000040,C00997,2024-04-14,2024-05-03 18:00:00,,Access,,,3.0,N,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000041,C01713,2024-02-26,2024-04-05 04:00:00,,,Pending,992.0,7.0,Y,INVALID,CSAT score outside 1-5 range,Pending
CS000042,C00704,2024-01-06,,,Cancellation,Closed,667.0,5.0,N,INVALID,Closed case missing closure date/resolution hours,Closed
CS000043,C00692,2024-10-31,2024-11-03 21:00:00,Critical,Data Issue,Escalated,-62.0,3.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Escalated
CS000044,C01604,2025-08-05,2025-09-12 05:00:00,High,Cancellation,Escalated,720.0,5.0,N,VALID,No issues detected,Escalated
CS000045,C01141,2024-11-26,2024-11-27 13:00:00,Medium,Access,Closed,,,Y,INVALID,Support case references customer not in subscriptions; Closed case missing closure date/resolution hours,Closed
CS000046,C01051,2024-12-29,2025-01-31 01:00:00,Medium,Cancellation,Closed,154.0,4.0,Y,INVALID,Support case references customer not in subscriptions,Closed
CS000047,C00111,2025-03-24,2025-03-26 14:00:00,Low,Billing,Open,-14.0,4.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000048,C01772,2024-01-12,2024-01-25 22:00:00,,Technical,Closed,774.0,4.0,Y,INVALID,Support case references customer not in subscriptions,Closed
CS000049,C01231,2025-02-15,2025-02-26 22:00:00,High,,Escalated,689.0,5.0,,VALID,No issues detected,Escalated
CS000050,C00755,2024-04-15,2024-04-27 12:00:00,,,Escalated,123.0,3.0,,INVALID,Support case references customer not in subscriptions,Escalated
CS000051,C00959,2024-05-20,2024-05-25 04:00:00,Medium,Access,,-4.0,7.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range; Missing case_status,Nan
CS000052,C00054,2025-11-21,2025-12-29 09:00:00,Critical,,Escalated,-44.0,4.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Escalated
CS000053,C01631,2025-09-17,2025-09-30 19:00:00,Low,Billing,,,6.0,Y,INVALID,CSAT score outside 1-5 range; Missing case_status,Nan
CS000054,C00127,2025-02-01,2025-02-11 06:00:00,Critical,,Closed,172.0,2.0,,INVALID,Support case references customer not in subscriptions,Closed
CS000055,C01303,2024-09-07,2024-09-30 03:00:00,Critical,Technical,Escalated,,3.0,Y,VALID,No issues detected,Escalated
CS000056,C00311,2024-06-20,2024-07-26 09:00:00,Medium,,,,7.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000057,C00354,2024-10-06,2024-11-06 09:00:00,Low,Data Issue,Open,-89.0,1.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000058,C00226,2024-02-10,2024-03-02 10:00:00,High,,Open,,1.0,Y,INVALID,Support case references customer not in subscriptions,Open
CS000059,C01530,2024-01-17,2024-01-30 08:00:00,Medium,Technical,Escalated,152.0,0.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Escalated
CS000060,C00465,2025-12-23,2026-01-28 19:00:00,,Access,Escalated,-47.0,6.0,N,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Escalated
CS000061,C00931,2025-03-13,2025-04-15 00:00:00,Medium,Access,,-50.0,1.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; Missing case_status,Nan
CS000062,C01140,2024-09-05,2024-10-05 15:00:00,Medium,Access,Escalated,,5.0,Y,VALID,No issues detected,Escalated
CS000063,C01150,2024-10-05,,,Billing,Closed,893.0,3.0,N,INVALID,Closed case missing closure date/resolution hours,Closed
CS000064,C00757,2024-03-23,2024-04-18 20:00:00,High,Access,Open,,,N,VALID,No issues detected,Open
CS000065,C01662,2024-08-05,2024-08-17 23:00:00,Critical,,Open,,6.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Open
CS000066,C01287,2024-12-05,,High,Access,Closed,134.0,3.0,,INVALID,Closed case missing closure date/resolution hours,Closed
CS000067,C01162,2025-09-30,2025-10-09 06:00:00,Critical,Access,Open,-78.0,2.0,,INVALID,Negative resolution_hours,Open
CS000068,C00053,2024-04-18,2024-05-26 13:00:00,Critical,,Open,,0.0,N,INVALID,CSAT score outside 1-5 range,Open
CS000069,C00544,2024-01-16,2024-02-07 10:00:00,Medium,,Closed,-3.0,5.0,N,INVALID,Negative resolution_hours,Closed
CS000070,C01377,2024-02-16,2024-03-15 21:00:00,Low,Data Issue,Closed,605.0,5.0,Y,VALID,No issues detected,Closed
CS000071,C00605,2025-01-09,2025-01-11 16:00:00,,Billing,Pending,530.0,6.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Pending
CS000072,C01328,2025-01-25,2025-02-23 07:00:00,,Technical,Escalated,391.0,,,INVALID,Support case references customer not in subscriptions,Escalated
CS000073,C00364,2025-01-20,2025-02-05 19:00:00,,Data Issue,Closed,,5.0,Y,INVALID,Closed case missing closure date/resolution hours,Closed
CS000074,C00406,2025-10-14,2025-11-04 17:00:00,Medium,Billing,Open,-29.0,,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000075,C00524,2024-02-14,2024-02-28 06:00:00,,Billing,,,5.0,,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
,C01223,2025-01-29,2025-02-11 19:00:00,Critical,Technical,Escalated,,5.0,N,INVALID,Missing case_id; Support case references customer not in subscriptions,Escalated
CS000077,C01682,2025-04-12,2025-05-06 19:00:00,High,Data Issue,Open,31.0,3.0,,INVALID,Support case references customer not in subscriptions,Open
CS000078,C00387,2025-07-17,2025-08-03 20:00:00,Critical,,,-38.0,,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; Missing case_status,Nan
CS000079,C01464,2026-01-23,2026-02-03 13:00:00,Critical,Cancellation,Pending,,5.0,,VALID,No issues detected,Pending
CS000080,C00352,2025-07-25,2025-08-11 08:00:00,Low,Billing,Pending,-56.0,7.0,Y,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000081,C01236,2025-12-02,2025-12-15 02:00:00,,Data Issue,,,,Y,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000082,C01717,2024-09-26,2024-09-28 16:00:00,High,Cancellation,Closed,,2.0,N,INVALID,Closed case missing closure date/resolution hours,Closed
CS000083,C00463,2025-09-18,2025-10-19 20:00:00,Critical,,Escalated,,0.0,N,INVALID,CSAT score outside 1-5 range,Escalated
CS000084,C00299,2024-06-01,2024-06-08 09:00:00,,Access,Open,422.0,7.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Open
,C01643,2025-01-14,2025-01-26 01:00:00,Medium,Technical,Pending,-89.0,0.0,,INVALID,Missing case_id; Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000086,C00474,2025-01-25,2025-02-10 15:00:00,Medium,Access,,-52.0,7.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range; Missing case_status,Nan
CS000087,C00214,2024-06-06,2024-06-30 19:00:00,Low,Data Issue,Pending,,7.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Pending
CS000088,C00041,2025-07-07,2025-07-20 14:00:00,Low,Access,Closed,652.0,4.0,,INVALID,Support case references customer not in subscriptions,Closed
CS000089,C00492,2024-05-07,,Low,Access,Closed,-28.0,5.0,,INVALID,Negative resolution_hours; Closed case missing closure date/resolution hours,Closed
CS000090,C00987,2024-10-22,2024-10-21 00:00:00,Critical,Technical,Open,,,N,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Open
CS000091,C01444,2024-02-27,2024-03-16 20:00:00,Critical,,Escalated,345.0,7.0,Y,INVALID,CSAT score outside 1-5 range,Escalated
CS000092,C00782,2025-08-22,2025-08-27 07:00:00,High,Access,Closed,,7.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Closed case missing closure date/resolution hours,Closed
CS000093,C00160,2024-08-20,2024-09-17 03:00:00,Medium,Technical,Open,,3.0,,INVALID,Support case references customer not in subscriptions,Open
CS000094,C01546,2024-06-03,2024-07-09 11:00:00,High,,Pending,,2.0,Y,INVALID,Support case references customer not in subscriptions,Pending
CS000095,C01285,2024-08-28,2024-08-20 00:00:00,Low,Data Issue,Open,206.0,4.0,,INVALID,Closed date earlier than opened date,Open
CS000096,C01664,2025-06-16,2025-07-17 14:00:00,Critical,Access,Pending,,,N,INVALID,Support case references customer not in subscriptions,Pending
CS000097,C00799,2025-12-21,2026-01-02 11:00:00,,,Closed,-50.0,3.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Closed
CS000098,C00237,2024-04-08,2024-05-04 11:00:00,Critical,Technical,Escalated,,2.0,,VALID,No issues detected,Escalated
CS000099,C00667,2025-02-24,2025-03-20 12:00:00,High,Billing,Open,,4.0,Y,INVALID,Support case references customer not in subscriptions,Open
CS000100,C01231,2024-01-06,2024-01-03 00:00:00,Low,Cancellation,Open,-85.0,3.0,,INVALID,Closed date earlier than opened date; Negative resolution_hours,Open
CS000101,C00150,2024-07-20,2024-07-16 00:00:00,Medium,Cancellation,Escalated,-52.0,4.0,,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date; Negative resolution_hours,Escalated
CS000102,C01391,2025-01-10,2025-02-05 04:00:00,Medium,Technical,Pending,-31.0,7.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Pending
,C01773,2024-01-12,2024-02-19 14:00:00,,Cancellation,Closed,,3.0,,INVALID,Missing case_id; Closed case missing closure date/resolution hours,Closed
CS000104,C00964,2025-01-10,2025-02-10 13:00:00,,Cancellation,Open,-87.0,4.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000105,C00822,2026-01-10,2026-01-16 16:00:00,Medium,Technical,Escalated,502.0,2.0,,VALID,No issues detected,Escalated
CS000106,C00323,2025-07-17,2025-08-22 13:00:00,Critical,Technical,,553.0,2.0,Y,SUSPICIOUS,Missing case_status,Nan
CS000107,C00362,2024-12-04,,Medium,Access,,-42.0,5.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; Missing case_status,Nan
CS000108,C01109,2025-01-13,2025-02-06 17:00:00,Critical,Cancellation,Escalated,-22.0,,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Escalated
CS000109,C01461,2024-12-09,,Low,Cancellation,Escalated,,,N,INVALID,Support case references customer not in subscriptions,Escalated
CS000110,C01652,2025-10-17,2025-11-09 22:00:00,High,Access,,806.0,0.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
,C01264,2024-02-09,2024-03-15 22:00:00,Critical,Access,Open,,2.0,,INVALID,Missing case_id; Support case references customer not in subscriptions,Open
CS000112,C00380,2024-06-13,,Low,Billing,Pending,-18.0,7.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000113,C00552,2025-01-04,2025-01-31 17:00:00,Low,Technical,Open,324.0,5.0,,INVALID,Support case references customer not in subscriptions,Open
CS000114,C00922,2025-03-08,2025-04-10 15:00:00,Medium,Billing,Open,752.0,1.0,,VALID,No issues detected,Open
CS000115,C00311,2025-05-06,2025-06-02 11:00:00,High,Access,Open,,0.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Open
CS000116,C00094,2025-08-04,2025-08-07 06:00:00,Medium,Technical,Open,-16.0,3.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000117,C00469,2024-04-26,2024-06-01 12:00:00,Low,,,-38.0,0.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range; Missing case_status,Nan
CS000118,C00836,2025-11-08,2025-12-04 11:00:00,High,Billing,Open,216.0,5.0,,INVALID,Support case references customer not in subscriptions,Open
CS000119,C00946,2025-01-11,2025-01-20 23:00:00,Critical,Data Issue,Escalated,747.0,,N,VALID,No issues detected,Escalated
CS000120,C01288,2024-08-21,2024-08-26 17:00:00,High,,Closed,-14.0,3.0,,INVALID,Negative resolution_hours,Closed
CS000121,C00548,2024-11-10,2024-12-07 20:00:00,High,,,,0.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000122,C01123,2026-01-14,2026-01-07 00:00:00,Low,Technical,Open,-76.0,2.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date; Negative resolution_hours,Open
CS000123,C01418,2024-10-18,2024-10-27 08:00:00,Medium,Cancellation,Open,,4.0,Y,VALID,No issues detected,Open
CS000124,C00489,2024-12-30,2025-02-06 22:00:00,Low,Billing,Open,,7.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Open
CS000125,C01079,2025-04-12,2025-04-12 03:00:00,Low,Cancellation,Open,-67.0,7.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000126,C01621,2024-11-14,2024-11-14 07:00:00,Medium,Access,Pending,,4.0,,INVALID,Support case references customer not in subscriptions,Pending
CS000127,C00739,2025-05-05,2025-04-26 00:00:00,,Cancellation,Escalated,947.0,3.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Escalated
,C01290,2024-12-30,2024-12-30 18:00:00,,Billing,,,1.0,N,INVALID,Missing case_id; Support case references customer not in subscriptions; Missing case_status,Nan
,C00058,2024-04-09,2024-05-04 20:00:00,,Technical,Closed,631.0,0.0,N,INVALID,Missing case_id; Support case references customer not in subscriptions; CSAT score outside 1-5 range,Closed
CS000130,C01691,2024-01-08,2024-02-04 16:00:00,Critical,Cancellation,,696.0,0.0,N,INVALID,CSAT score outside 1-5 range; Missing case_status,Nan
CS000131,C00922,2024-02-16,2024-02-27 05:00:00,Medium,Billing,Escalated,,1.0,Y,VALID,No issues detected,Escalated
CS000132,C00012,2025-01-01,2025-01-31 06:00:00,,Cancellation,Escalated,-77.0,1.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Escalated
CS000133,C00670,2026-01-12,2026-01-04 00:00:00,Low,,Open,,2.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Open
CS000134,C00070,2025-05-21,2025-05-15 00:00:00,Critical,Billing,Open,182.0,5.0,,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Open
CS000135,C00226,2024-12-31,2025-01-31 03:00:00,,Access,Escalated,,,Y,INVALID,Support case references customer not in subscriptions,Escalated
CS000136,C01495,2024-01-04,2024-01-06 10:00:00,Critical,Billing,,-30.0,6.0,N,INVALID,Negative resolution_hours; CSAT score outside 1-5 range; Missing case_status,Nan
CS000137,C00948,2024-04-11,2024-05-04 16:00:00,,Data Issue,Open,566.0,0.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Open
CS000138,C01247,2025-07-25,2025-09-01 06:00:00,Medium,Data Issue,Closed,,2.0,N,INVALID,Support case references customer not in subscriptions; Closed case missing closure date/resolution hours,Closed
CS000139,C00884,2025-07-25,2025-07-26 13:00:00,Medium,Billing,Escalated,287.0,0.0,,INVALID,CSAT score outside 1-5 range,Escalated
CS000140,C01033,2025-09-30,2025-09-24 00:00:00,Medium,Data Issue,Open,,2.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Open
CS000141,C00550,2024-10-26,2024-11-28 19:00:00,High,,Open,491.0,,,VALID,No issues detected,Open
CS000142,C01218,2026-01-18,2026-02-24 04:00:00,Low,Access,Pending,,1.0,N,INVALID,Support case references customer not in subscriptions,Pending
CS000143,C01546,2025-01-04,2025-01-21 13:00:00,Low,,Escalated,104.0,3.0,,INVALID,Support case references customer not in subscriptions,Escalated
CS000144,C01539,2024-01-24,2024-01-14 00:00:00,,,,-2.0,4.0,Y,INVALID,Closed date earlier than opened date; Negative resolution_hours; Missing case_status,Nan
CS000145,C01228,2025-05-14,2025-06-22 03:00:00,Critical,Access,,110.0,6.0,,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Missing case_status,Nan
CS000146,C01699,2025-05-17,2025-06-23 18:00:00,Critical,Billing,Pending,-74.0,6.0,Y,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000147,C01021,2024-07-28,2024-08-06 06:00:00,Critical,Data Issue,Open,-85.0,0.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000148,C00056,2025-05-31,,High,Data Issue,,-13.0,1.0,N,INVALID,Negative resolution_hours; Missing case_status,Nan
CS000149,C00612,2024-04-17,2024-04-27 10:00:00,High,Billing,Escalated,,2.0,N,INVALID,Support case references customer not in subscriptions,Escalated
CS000150,C00244,2025-11-29,2025-12-15 19:00:00,,Cancellation,,,2.0,Y,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000151,C01273,2025-10-29,2025-11-24 07:00:00,Low,Technical,Pending,681.0,4.0,Y,INVALID,Support case references customer not in subscriptions,Pending
CS000152,C00005,2025-03-22,2025-04-17 20:00:00,High,Cancellation,,60.0,4.0,N,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000153,C00322,2025-01-29,,High,Data Issue,Open,-91.0,6.0,,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000154,C00032,2024-11-21,2024-12-23 03:00:00,,Technical,Pending,,6.0,N,INVALID,CSAT score outside 1-5 range,Pending
CS000155,C01743,2025-11-09,2025-11-29 07:00:00,Medium,Technical,Closed,-35.0,5.0,N,INVALID,Negative resolution_hours,Closed
CS000156,C01464,2024-01-13,,Medium,Technical,Pending,-29.0,7.0,N,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000157,C00767,2025-08-08,2025-08-16 21:00:00,,Cancellation,Open,-21.0,0.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000158,C01496,2025-05-24,2025-06-14 10:00:00,Low,Technical,Escalated,121.0,2.0,N,INVALID,Support case references customer not in subscriptions,Escalated
CS000159,C00514,2026-01-29,2026-02-18 06:00:00,Critical,Data Issue,Open,778.0,0.0,N,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Open
CS000160,C00680,2025-11-26,2025-12-27 03:00:00,Low,Data Issue,Pending,-68.0,0.0,N,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Pending
CS000161,C00111,2024-08-30,2024-09-08 13:00:00,,,Open,-8.0,7.0,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000162,C00150,2025-03-11,2025-03-12 19:00:00,,Cancellation,Open,-46.0,2.0,N,INVALID,Support case references customer not in subscriptions; Negative resolution_hours,Open
CS000163,C00172,2024-02-17,2024-02-21 12:00:00,Medium,Access,Closed,,3.0,Y,INVALID,Closed case missing closure date/resolution hours,Closed
CS000164,C01208,2024-03-17,2024-03-30 15:00:00,Critical,Data Issue,Pending,,4.0,N,VALID,No issues detected,Pending
CS000165,C01470,2024-04-04,2024-04-27 15:00:00,Critical,Access,Pending,-56.0,2.0,Y,INVALID,Negative resolution_hours,Pending
CS000166,C01587,2025-12-23,2025-12-19 00:00:00,Medium,Data Issue,,,,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date; Missing case_status,Nan
CS000167,C01249,2024-10-17,2024-11-12 20:00:00,High,Access,Pending,33.0,2.0,N,INVALID,Support case references customer not in subscriptions,Pending
CS000168,C01609,2024-01-04,2024-02-01 07:00:00,Low,Data Issue,Closed,,6.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range; Closed case missing closure date/resolution hours,Closed
CS000169,C00253,2024-05-03,2024-05-08 04:00:00,Medium,Access,Closed,834.0,4.0,N,VALID,No issues detected,Closed
CS000170,C01314,2025-08-12,2025-08-15 11:00:00,Medium,Access,,-32.0,,Y,INVALID,Support case references customer not in subscriptions; Negative resolution_hours; Missing case_status,Nan
CS000171,C00477,2024-11-06,2024-12-15 23:00:00,High,Technical,Open,-77.0,7.0,,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000172,C01487,2025-02-09,2025-02-17 08:00:00,,Data Issue,Pending,,7.0,Y,INVALID,Support case references customer not in subscriptions; CSAT score outside 1-5 range,Pending
CS000173,C00529,2024-11-19,2024-12-15 18:00:00,Low,Technical,Open,-90.0,7.0,,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Open
CS000174,C00658,2025-06-22,2025-07-22 00:00:00,High,Billing,Escalated,622.0,4.0,N,INVALID,Support case references customer not in subscriptions,Escalated
CS000175,C00579,2025-05-07,,High,Cancellation,Pending,622.0,,N,VALID,No issues detected,Pending
CS000176,C00427,2024-07-11,2024-07-06 00:00:00,,Cancellation,Open,,2.0,Y,INVALID,Support case references customer not in subscriptions; Closed date earlier than opened date,Open
CS000177,C01063,2026-01-15,2026-02-04 05:00:00,High,,Pending,,1.0,N,INVALID,Support case references customer not in subscriptions,Pending
CS000178,C01218,2025-05-05,2025-06-05 20:00:00,Critical,Cancellation,,687.0,5.0,N,INVALID,Support case references customer not in subscriptions; Missing case_status,Nan
CS000179,C00748,2024-06-29,2024-07-02 06:00:00,Critical,Data Issue,Closed,-74.0,6.0,N,INVALID,Negative resolution_hours; CSAT score outside 1-5 range,Closed
