usage_id,customer_id,usage_date,login_count,active_minutes,feature_clicks,reports_created,data_exports,seat_count,record_status,status_reason
U0000041,C00617,2025-11-24,39.0,932.0,715,0,61,20.0,INVALID,Usage record references customer not in subscriptions
U0000042,C00976,2024-08-03,53.0,,1000,6,75,2.0,INVALID,Usage record references customer not in subscriptions
U0000043,C01113,2024-04-10,30.0,696.0,41,65,53,20.0,INVALID,Usage record references customer not in subscriptions
U0000044,C00478,2025-05-09,4.0,1781.0,319,70,21,5.0,VALID,No issues detected
U0000045,C00102,2024-03-01,43.0,1509.0,286,13,11,,INVALID,Usage record references customer not in subscriptions
U0000046,C01065,2025-12-10,6.0,1943.0,494,30,91,50.0,INVALID,Usage record references customer not in subscriptions
U0000047,C01744,2024-04-28,43.0,739.0,140,27,15,20.0,INVALID,Usage record references customer not in subscriptions
U0000048,C01745,2024-08-29,10.0,-163.0,310,5,89,20.0,INVALID,Negative active_minutes
U0000049,C00909,2025-10-07,-17.0,1502.0,267,38,20,20.0,INVALID,Usage record references customer not in subscriptions; Negative login_count
U0000050,C00642,2025-09-13,42.0,159.0,299,60,99,50.0,VALID,No issues detected
U0000051,C00053,2025-05-08,57.0,501.0,340,63,14,1.0,VALID,No issues detected
U0000052,C01523,2025-12-14,14.0,350.0,72,80,86,100.0,INVALID,Usage record references customer not in subscriptions
U0000053,C00670,2024-11-09,,1174.0,563,40,36,,INVALID,Usage record references customer not in subscriptions
U0000054,C01459,2025-04-05,54.0,1248.0,966,1,75,10.0,VALID,No issues detected
U0000055,C00963,2025-11-20,5.0,1924.0,904,57,79,20.0,VALID,No issues detected
U0000056,C00556,2025-04-27,53.0,736.0,245,75,8,10.0,INVALID,Usage record references customer not in subscriptions
U0000057,C00615,2025-08-31,3.0,1658.0,21,29,19,1.0,INVALID,Usage record references customer not in subscriptions
U0000058,C00431,2025-12-12,39.0,,887,40,97,1.0,VALID,No issues detected
U0000059,C01318,2026-01-25,55.0,782.0,737,65,35,100.0,VALID,No issues detected
U0000060,C01441,2025-09-29,36.0,165.0,614,43,23,5.0,VALID,No issues detected
U0000061,C00143,2024-01-05,-51.0,1738.0,730,43,45,50.0,INVALID,Negative login_count
U0000062,C00436,2025-12-16,22.0,169.0,182,66,15,10.0,INVALID,Usage record references customer not in subscriptions
U0000063,C01406,2024-06-29,,1761.0,778,17,83,2.0,INVALID,Usage record references customer not in subscriptions
U0000064,C00157,2024-04-21,42.0,1296.0,989,68,40,50.0,INVALID,Usage record references customer not in subscriptions
U0000065,C00789,2024-02-22,26.0,-87.0,536,14,95,20.0,INVALID,Usage record references customer not in subscriptions; Negative active_minutes
U0000066,C00258,2025-08-30,8.0,171.0,367,80,28,10.0,VALID,No issues detected
U0000067,C01536,2025-08-23,40.0,114.0,311,13,22,,INVALID,Usage record references customer not in subscriptions
U0000068,C01497,2025-09-19,8.0,199.0,986,13,49,5.0,VALID,No issues detected
U0000069,C00527,2024-05-07,13.0,1519.0,280,71,19,500.0,INVALID,Usage record references customer not in subscriptions
U0000070,C00390,2024-05-29,28.0,,333,13,86,5.0,INVALID,Usage record references customer not in subscriptions
U0000071,C01017,2025-07-03,-56.0,1482.0,257,61,91,-5.0,INVALID,Negative login_count
U0000072,C00818,2025-08-17,37.0,726.0,43,49,15,500.0,VALID,No issues detected
U0000073,C01425,2024-09-07,24.0,511.0,486,58,32,1.0,VALID,No issues detected
U0000074,C01313,2025-07-15,37.0,678.0,209,40,33,,VALID,No issues detected
U0000075,C01373,2024-11-19,55.0,1721.0,638,80,45,5.0,INVALID,Usage record references customer not in subscriptions
U0000076,C00049,2024-03-15,44.0,1990.0,920,33,18,2.0,INVALID,Usage record references customer not in subscriptions
U0000077,C01057,2025-04-02,34.0,1266.0,45,59,89,10.0,VALID,No issues detected
U0000078,C01206,2024-12-13,18.0,882.0,779,61,60,2.0,INVALID,Usage record references customer not in subscriptions
U0000079,C00269,2024-04-08,11.0,1450.0,959,29,98,50.0,VALID,No issues detected
U0000080,C01400,2024-05-13,5.0,,909,10,34,2.0,VALID,No issues detected
U0000081,C00999,2025-12-24,19.0,1816.0,459,55,23,2.0,INVALID,Usage record references customer not in subscriptions
U0000082,C01070,2024-09-14,18.0,766.0,50,57,24,500.0,INVALID,Usage record references customer not in subscriptions
U0000083,C01477,2025-06-09,60.0,1299.0,659,26,38,,VALID,No issues detected
U0000084,C01089,2025-12-22,24.0,885.0,895,80,97,,INVALID,Usage record references customer not in subscriptions
U0000085,C00630,2025-01-31,23.0,691.0,644,39,56,-5.0,INVALID,Usage record references customer not in subscriptions
U0000086,C00948,2025-09-30,36.0,-80.0,839,21,35,-5.0,INVALID,Usage record references customer not in subscriptions; Negative active_minutes
U0000087,C01749,2024-06-01,-9.0,501.0,693,59,50,1.0,INVALID,Usage record references customer not in subscriptions; Negative login_count
U0000088,C01730,2025-12-08,35.0,1599.0,578,72,36,-5.0,INVALID,Usage record references customer not in subscriptions
U0000089,C00555,2025-06-27,10.0,1186.0,373,42,9,500.0,VALID,No issues detected
U0000090,C01111,2025-08-18,41.0,,173,67,36,500.0,VALID,No issues detected
U0000091,C00670,2025-04-22,45.0,1941.0,479,49,71,,INVALID,Usage record references customer not in subscriptions
,C00779,2025-01-12,47.0,1772.0,315,58,56,-5.0,INVALID,Missing usage_id; Usage record references customer not in subscriptions
U0000093,C01130,2024-02-07,49.0,1490.0,734,15,7,50.0,INVALID,Usage record references customer not in subscriptions
U0000094,C00871,2024-12-16,0.0,1405.0,367,54,40,20.0,VALID,No issues detected
U0000095,C01132,2026-01-22,2.0,245.0,624,52,1,50.0,VALID,No issues detected
U0000096,C01276,2025-01-07,26.0,1893.0,928,50,35,,INVALID,Usage record references customer not in subscriptions
U0000097,C00762,2024-03-13,22.0,163.0,262,62,5,-5.0,INVALID,Usage record references customer not in subscriptions
U0000098,C01087,2024-01-29,,1044.0,654,12,91,5.0,INVALID,Usage record references customer not in subscriptions
U0000099,C00040,2024-04-25,33.0,822.0,673,34,67,2.0,INVALID,Usage record references customer not in subscriptions
U0000100,C00502,2024-10-05,50.0,503.0,597,29,27,5.0,INVALID,Usage record references customer not in subscriptions
U0000101,C01236,2025-12-29,23.0,1973.0,143,32,27,,INVALID,Usage record references customer not in subscriptions
U0000102,C00875,2024-08-09,13.0,1643.0,701,0,0,20.0,INVALID,Usage record references customer not in subscriptions
U0000103,C00028,2025-07-04,,1068.0,24,76,41,50.0,VALID,No issues detected
,C00772,2025-02-17,30.0,1611.0,891,10,34,2.0,INVALID,Missing usage_id; Usage record references customer not in subscriptions
U0000105,C01739,2024-06-20,29.0,481.0,844,19,71,10.0,VALID,No issues detected
U0000106,C01240,2024-11-24,7.0,1056.0,624,60,55,20.0,VALID,No issues detected
U0000107,C01074,2024-09-14,11.0,637.0,480,57,37,-5.0,INVALID,Usage record references customer not in subscriptions
U0000108,C00457,2025-12-29,,269.0,353,52,71,20.0,VALID,No issues detected
U0000109,C01309,2025-05-09,7.0,1939.0,621,57,64,50.0,INVALID,Usage record references customer not in subscriptions
U0000110,C01459,2025-08-27,46.0,215.0,860,39,54,20.0,VALID,No issues detected
U0000111,C00180,2025-07-27,40.0,1075.0,361,70,45,50.0,VALID,No issues detected
U0000112,C00754,2025-09-09,21.0,1461.0,975,41,64,10.0,VALID,No issues detected
,C00505,2025-02-23,50.0,1491.0,653,14,68,-5.0,INVALID,Missing usage_id; Usage record references customer not in subscriptions
U0000114,C00560,2024-01-22,31.0,832.0,698,32,46,1.0,VALID,No issues detected
U0000115,C01395,2025-02-25,37.0,1255.0,295,47,34,20.0,VALID,No issues detected
U0000116,C01106,2024-09-25,58.0,1810.0,26,43,37,,VALID,No issues detected
U0000117,C01424,2025-03-09,27.0,630.0,911,64,34,2.0,VALID,No issues detected
U0000118,C00948,2024-06-01,43.0,1129.0,243,34,13,1.0,INVALID,Usage record references customer not in subscriptions
U0000119,C01413,2024-06-29,15.0,173.0,115,5,92,2.0,INVALID,Usage record references customer not in subscriptions
U0000120,C01719,2025-09-07,22.0,,10,11,61,1.0,VALID,No issues detected
,C01744,2025-03-15,54.0,1906.0,660,69,36,10.0,INVALID,Missing usage_id; Usage record references customer not in subscriptions
U0000122,C00314,2025-08-25,56.0,,277,2,35,20.0,VALID,No issues detected
U0000123,C00750,2025-01-12,44.0,558.0,345,7,46,-5.0,VALID,No issues detected
U0000124,C01496,2024-10-04,14.0,1670.0,983,11,71,5.0,INVALID,Usage record references customer not in subscriptions
U0000125,C00889,2024-03-16,18.0,1670.0,548,34,83,100.0,INVALID,Usage record references customer not in subscriptions
U0000126,C01626,2024-09-24,26.0,175.0,746,43,35,500.0,INVALID,Usage record references customer not in subscriptions
U0000127,C01289,2025-04-06,33.0,1577.0,125,53,34,10.0,VALID,No issues detected
U0000128,C00127,2024-05-25,30.0,853.0,940,72,81,-5.0,INVALID,Usage record references customer not in subscriptions
U0000129,C00047,2024-07-02,0.0,1222.0,926,79,38,20.0,VALID,No issues detected
U0000130,C01383,2024-05-23,29.0,1381.0,156,47,56,2.0,INVALID,Usage record references customer not in subscriptions
U0000131,C00114,2024-08-08,4.0,951.0,745,27,39,500.0,VALID,No issues detected
U0000132,C01138,2025-05-02,40.0,161.0,713,44,46,1.0,INVALID,Usage record references customer not in subscriptions
U0000133,C00646,2025-08-27,14.0,1198.0,239,24,39,20.0,INVALID,Usage record references customer not in subscriptions
U0000134,C01060,2025-11-19,19.0,649.0,689,41,6,100.0,INVALID,Usage record references customer not in subscriptions
U0000135,C00414,2024-04-04,31.0,795.0,681,26,34,2.0,VALID,No issues detected
U0000136,C00617,2024-04-18,43.0,467.0,41,29,14,50.0,INVALID,Usage record references customer not in subscriptions
U0000137,C01035,2025-10-11,20.0,1352.0,380,2,37,20.0,INVALID,Usage record references customer not in subscriptions
U0000138,C00164,2025-10-24,20.0,-332.0,963,43,8,-5.0,INVALID,Usage record references customer not in subscriptions; Negative active_minutes
U0000139,C01109,2024-04-25,12.0,643.0,299,79,17,-5.0,INVALID,Usage record references customer not in subscriptions
U0000140,C01545,2024-04-22,7.0,1915.0,288,71,30,-5.0,INVALID,Usage record references customer not in subscriptions
U0000141,C00191,2024-01-14,20.0,-32.0,132,68,42,100.0,INVALID,Usage record references customer not in subscriptions; Negative active_minutes
U0000142,C00708,2024-08-21,20.0,1640.0,110,71,77,-5.0,VALID,No issues detected
U0000143,C00834,2025-12-16,21.0,1850.0,504,62,99,20.0,VALID,No issues detected
U0000144,C01340,2024-08-04,15.0,,149,63,58,500.0,VALID,No issues detected
U0000145,C01711,2025-09-12,54.0,430.0,337,34,43,500.0,INVALID,Usage record references customer not in subscriptions
U0000146,C00630,2024-11-24,3.0,1002.0,402,68,37,50.0,INVALID,Usage record references customer not in subscriptions
U0000147,C00377,2025-12-16,55.0,1294.0,262,5,57,20.0,INVALID,Usage record references customer not in subscriptions
U0000148,C01441,2025-05-13,5.0,1938.0,936,60,14,50.0,VALID,No issues detected
U0000149,C01618,2024-04-10,37.0,322.0,403,11,82,500.0,INVALID,Usage record references customer not in subscriptions
U0000150,C00486,2024-12-30,25.0,236.0,737,47,31,1.0,VALID,No issues detected
U0000151,C00416,2024-03-31,36.0,565.0,17,10,93,5.0,INVALID,Usage record references customer not in subscriptions
U0000152,C01782,2024-02-04,36.0,884.0,320,3,46,,INVALID,Usage record references customer not in subscriptions
U0000153,C00242,2026-01-04,-49.0,139.0,443,6,58,-5.0,INVALID,Negative login_count
U0000154,C01556,2025-11-11,54.0,242.0,156,51,62,1.0,INVALID,Usage record references customer not in subscriptions
U0000155,C00226,2025-06-27,6.0,1164.0,917,12,76,-5.0,INVALID,Usage record references customer not in subscriptions
U0000156,C00231,2025-11-04,6.0,1449.0,872,18,41,2.0,INVALID,Usage record references customer not in subscriptions
U0000157,C01466,2025-07-17,38.0,913.0,643,21,69,-5.0,INVALID,Usage record references customer not in subscriptions
U0000158,C01159,2024-10-02,28.0,,361,40,13,5.0,INVALID,Usage record references customer not in subscriptions
U0000159,C01408,2025-02-08,24.0,1286.0,647,77,41,2.0,INVALID,Usage record references customer not in subscriptions
,C00759,2024-01-17,59.0,167.0,214,33,88,10.0,INVALID,Missing usage_id; Usage record references customer not in subscriptions
U0000161,C00297,2025-10-16,0.0,782.0,598,56,10,5.0,INVALID,Usage record references customer not in subscriptions
U0000162,C01503,2025-11-11,4.0,299.0,927,72,96,,INVALID,Usage record references customer not in subscriptions
U0000163,C00654,2025-11-27,,-37.0,746,62,66,50.0,INVALID,Usage record references customer not in subscriptions; Negative active_minutes
U0000164,C00744,2024-02-14,23.0,1744.0,329,79,47,1.0,INVALID,Usage record references customer not in subscriptions
U0000165,C01448,2025-10-21,50.0,1675.0,605,71,80,50.0,VALID,No issues detected
U0000166,C00904,2024-06-12,51.0,1806.0,768,65,57,20.0,VALID,No issues detected
U0000167,C00151,2025-04-10,35.0,1320.0,705,34,79,2.0,VALID,No issues detected
U0000168,C01644,2024-05-06,36.0,345.0,315,67,79,1.0,INVALID,Usage record references customer not in subscriptions
U0000169,C00976,2024-09-15,55.0,653.0,134,39,52,500.0,INVALID,Usage record references customer not in subscriptions
U0000170,C00182,2024-07-12,60.0,407.0,602,70,37,50.0,INVALID,Usage record references customer not in subscriptions
U0000171,C00478,2024-07-13,54.0,897.0,22,77,29,50.0,VALID,No issues detected
U0000172,C00296,2024-11-05,19.0,1073.0,628,38,89,2.0,VALID,No issues detected
U0000173,C01071,2025-12-24,19.0,528.0,922,68,58,,VALID,No issues detected
U0000174,C01053,2025-05-28,46.0,1654.0,902,49,69,50.0,INVALID,Usage record references customer not in subscriptions
U0000175,C00619,2024-06-06,24.0,1743.0,819,69,78,20.0,INVALID,Usage record references customer not in subscriptions
U0000176,C00363,2025-05-06,38.0,,705,61,40,2.0,INVALID,Usage record references customer not in subscriptions
U0000177,C01337,2025-04-12,5.0,1784.0,677,56,37,5.0,VALID,No issues detected
U0000178,C01559,2024-06-24,55.0,504.0,848,23,74,1.0,INVALID,Usage record references customer not in subscriptions
U0000179,C00537,2024-10-28,48.0,,429,52,54,100.0,INVALID,Usage record references customer not in subscriptions
U0000180,C01619,2026-01-26,60.0,406.0,117,14,5,500.0,INVALID,Usage record references customer not in subscriptions
U0000181,C00105,2025-10-30,,873.0,353,47,82,20.0,VALID,No issues detected
U0000182,C01485,2024-05-18,45.0,1814.0,94,73,59,100.0,INVALID,Usage record references customer not in subscriptions
U0000183,C00492,2025-02-22,,119.0,463,44,92,10.0,VALID,No issues detected
U0000184,C00927,2025-01-14,5.0,1887.0,980,78,6,20.0,VALID,No issues detected
U0000185,C00182,2025-12-19,59.0,1565.0,98,50,98,20.0,INVALID,Usage record references customer not in subscriptions
U0000186,C01160,2025-11-05,60.0,512.0,784,46,96,5.0,INVALID,Usage record references customer not in subscriptions
U0000187,C00280,2024-05-30,7.0,1340.0,598,60,64,500.0,VALID,No issues detected
U0000188,C00182,2024-01-23,16.0,606.0,982,24,48,100.0,INVALID,Usage record references customer not in subscriptions
U0000189,C01209,2025-07-07,6.0,,209,47,33,,INVALID,Usage record references customer not in subscriptions
U0000190,C00117,2025-05-16,30.0,167.0,316,20,57,2.0,INVALID,Usage record references customer not in subscriptions
U0000191,C00481,2024-04-05,12.0,908.0,275,65,32,-5.0,VALID,No issues detected
U0000192,C00936,2024-02-25,5.0,1058.0,596,4,50,,INVALID,Usage record references customer not in subscriptions
U0000193,C00395,2024-03-28,41.0,1548.0,367,72,12,500.0,INVALID,Usage record references customer not in subscriptions
U0000194,C01015,2025-06-10,,241.0,273,70,41,20.0,INVALID,Usage record references customer not in subscriptions
U0000195,C01004,2024-04-24,1.0,1978.0,658,21,74,,INVALID,Usage record references customer not in subscriptions
U0000196,C01528,2024-12-24,0.0,348.0,69,6,42,100.0,VALID,No issues detected
U0000197,C01506,2025-01-04,23.0,1862.0,659,78,2,5.0,INVALID,Usage record references customer not in subscriptions
U0000198,C00898,2024-09-29,38.0,386.0,941,25,67,500.0,INVALID,Usage record references customer not in subscriptions
U0000199,C01030,2024-01-15,56.0,-173.0,714,55,89,20.0,INVALID,Usage record references customer not in subscriptions; Negative active_minutes
U0000200,C00516,2024-04-03,38.0,1857.0,53,50,21,1.0,VALID,No issues detected
U0000201,C01038,2024-01-08,9.0,92.0,56,16,30,500.0,INVALID,Usage record references customer not in subscriptions
U0000202,C01751,2024-12-08,36.0,1653.0,433,47,20,,INVALID,Usage record references customer not in subscriptions
U0000203,C01217,2025-01-26,23.0,545.0,862,50,89,,VALID,No issues detected
,C01144,2025-05-24,-49.0,1729.0,846,38,28,5.0,INVALID,Missing usage_id; Usage record references customer not in subscriptions; Negative login_count
U0000205,C01787,2024-01-21,12.0,1781.0,93,51,13,10.0,VALID,No issues detected
U0000206,C01492,2024-07-27,33.0,697.0,32,28,64,500.0,INVALID,Usage record references customer not in subscriptions
,C00103,2024-06-21,,1670.0,696,31,8,10.0,INVALID,Missing usage_id
U0000208,C00135,2026-01-21,-55.0,513.0,931,48,1,50.0,INVALID,Usage record references customer not in subscriptions; Negative login_count
U0000209,C00757,2025-10-11,35.0,124.0,735,12,64,500.0,VALID,No issues detected
U0000210,C00051,2025-08-24,49.0,806.0,514,66,37,5.0,INVALID,Usage record references customer not in subscriptions
U0000211,C01485,2024-02-08,-30.0,1540.0,298,2,16,500.0,INVALID,Usage record references customer not in subscriptions; Negative login_count
U0000212,C00618,2025-07-23,49.0,23.0,188,77,0,1.0,INVALID,Usage record references customer not in subscriptions
U0000213,C01771,2025-02-28,25.0,1254.0,390,78,15,100.0,INVALID,Usage record references customer not in subscriptions
,C00249,2025-12-26,46.0,1240.0,656,70,11,-5.0,INVALID,Missing usage_id; Usage record references customer not in subscriptions
U0000215,C01430,2024-10-11,6.0,1377.0,874,65,32,,INVALID,Usage record references customer not in subscriptions
U0000216,C01635,2024-06-27,2.0,-428.0,950,56,87,2.0,INVALID,Negative active_minutes
U0000217,C01723,2024-10-11,13.0,1480.0,774,11,59,-5.0,INVALID,Usage record references customer not in subscriptions
U0000218,C00458,2024-04-03,8.0,1710.0,765,50,97,10.0,INVALID,Usage record references customer not in subscriptions
U0000219,C01235,2025-10-24,42.0,1163.0,661,17,98,5.0,VALID,No issues detected
U0000220,C01737,2025-07-26,41.0,1838.0,38,80,45,5.0,INVALID,Usage record references customer not in subscriptions
U0000221,C00176,2024-06-19,33.0,1153.0,162,55,71,500.0,VALID,No issues detected
U0000222,C01013,2025-08-19,17.0,16.0,739,74,43,1.0,VALID,No issues detected
U0000223,C00824,2025-08-24,7.0,1380.0,29,51,19,1.0,INVALID,Usage record references customer not in subscriptions
U0000224,C00775,2025-04-16,27.0,151.0,176,5,9,20.0,VALID,No issues detected
U0000225,C01214,2026-01-27,31.0,1679.0,557,45,32,,INVALID,Usage record references customer not in subscriptions
U0000226,C00269,2025-12-17,25.0,208.0,860,78,96,1.0,VALID,No issues detected
U0000227,C00152,2025-11-18,2.0,1199.0,31,70,22,,INVALID,Usage record references customer not in subscriptions
U0000228,C01190,2024-09-29,33.0,343.0,617,30,60,10.0,VALID,No issues detected
U0000229,C01747,2024-05-06,0.0,821.0,734,22,91,,VALID,No issues detected
U0000230,C00462,2026-01-22,12.0,1278.0,390,66,33,2.0,VALID,No issues detected
U0000231,C00832,2025-07-06,-32.0,1638.0,252,19,71,5.0,INVALID,Usage record references customer not in subscriptions; Negative login_count
U0000232,C00726,2024-03-10,11.0,65.0,452,40,46,1.0,INVALID,Usage record references customer not in subscriptions
U0000233,C00503,2025-02-07,44.0,1356.0,176,18,69,10.0,INVALID,Usage record references customer not in subscriptions
U0000234,C01067,2024-10-20,2.0,1318.0,897,23,36,1.0,INVALID,Usage record references customer not in subscriptions
U0000235,C01441,2025-03-10,5.0,1370.0,259,70,55,50.0,VALID,No issues detected
U0000236,C01652,2026-01-28,23.0,1101.0,913,9,9,10.0,INVALID,Usage record references customer not in subscriptions
U0000237,C00128,2024-07-14,28.0,209.0,148,22,54,2.0,VALID,No issues detected
U0000238,C00777,2025-05-01,30.0,1832.0,982,54,18,50.0,VALID,No issues detected
U0000239,C00937,2024-06-28,22.0,1060.0,811,56,86,20.0,VALID,No issues detected
U0000240,C01542,2024-02-06,8.0,,352,78,94,-5.0,VALID,No issues detected
U0000241,C01171,2024-11-05,15.0,,900,41,14,500.0,INVALID,Usage record references customer not in subscriptions
,C00732,2025-12-10,59.0,1518.0,254,41,90,-5.0,INVALID,Missing usage_id; Usage record references customer not in subscriptions
U0000243,C00049,2024-10-07,25.0,409.0,822,33,36,50.0,INVALID,Usage record references customer not in subscriptions
U0000244,C01410,2024-09-21,48.0,573.0,883,44,0,100.0,INVALID,Usage record references customer not in subscriptions
U0000245,C00959,2024-05-14,8.0,1404.0,28,51,63,2.0,INVALID,Usage record references customer not in subscriptions
U0000246,C01478,2024-02-09,41.0,-41.0,875,35,73,5.0,INVALID,Usage record references customer not in subscriptions; Negative active_minutes
U0000247,C00710,2024-06-29,9.0,1037.0,769,78,76,-5.0,INVALID,Usage record references customer not in subscriptions
U0000248,C01419,2025-05-29,48.0,1655.0,640,12,9,50.0,INVALID,Usage record references customer not in subscriptions
U0000249,C00872,2024-11-09,42.0,267.0,476,26,51,1.0,INVALID,Usage record references customer not in subscriptions
U0000250,C01208,2024-05-04,56.0,1198.0,975,4,75,2.0,VALID,No issues detected
U0000251,C00934,2024-10-06,21.0,363.0,994,45,32,2.0,INVALID,Usage record references customer not in subscriptions
U0000252,C01331,2025-11-24,24.0,1321.0,203,25,9,500.0,INVALID,Usage record references customer not in subscriptions
U0000253,C01502,2024-07-18,11.0,1196.0,418,53,49,2.0,INVALID,Usage record references customer not in subscriptions
U0000254,C00278,2024-07-13,49.0,1813.0,757,44,14,10.0,INVALID,Usage record references customer not in subscriptions
U0000255,C00773,2024-10-22,,1501.0,935,63,33,50.0,VALID,No issues detected
U0000256,C01696,2025-02-04,24.0,1445.0,192,25,1,,VALID,No issues detected
U0000257,C01302,2025-03-04,,137.0,789,25,16,,VALID,No issues detected
U0000258,C00388,2025-01-21,42.0,1145.0,282,67,12,500.0,INVALID,Usage record references customer not in subscriptions
U0000259,C00875,2024-09-17,11.0,,248,50,39,,INVALID,Usage record references customer not in subscriptions
U0000260,C00315,2025-06-24,39.0,1515.0,791,72,25,10.0,VALID,No issues detected
U0000261,C01206,2024-12-10,4.0,1272.0,391,9,70,20.0,INVALID,Usage record references customer not in subscriptions
U0000262,C00565,2025-10-13,0.0,1323.0,903,39,31,2.0,INVALID,Usage record references customer not in subscriptions
U0000263,C01469,2024-01-31,41.0,947.0,901,42,83,-5.0,INVALID,Usage record references customer not in subscriptions
U0000264,C00494,2025-10-15,37.0,864.0,263,57,51,2.0,INVALID,Usage record references customer not in subscriptions
U0000265,C00689,2026-01-09,32.0,333.0,134,15,21,500.0,INVALID,Usage record references customer not in subscriptions
U0000266,C00859,2024-10-08,40.0,,478,13,76,500.0,VALID,No issues detected
U0000267,C01559,2025-10-09,,370.0,574,68,44,5.0,INVALID,Usage record references customer not in subscriptions
U0000268,C01601,2025-11-13,18.0,,675,30,83,10.0,VALID,No issues detected
U0000269,C01761,2025-06-26,57.0,1992.0,263,72,84,1.0,INVALID,Usage record references customer not in subscriptions
U0000270,C01252,2024-05-27,31.0,963.0,459,58,42,50.0,INVALID,Usage record references customer not in subscriptions
U0000271,C01691,2024-03-28,45.0,1463.0,323,51,42,10.0,VALID,No issues detected
U0000272,C00744,2025-03-13,,-337.0,780,51,97,-5.0,INVALID,Usage record references customer not in subscriptions; Negative active_minutes
