subscription_id,customer_id,region,plan_name,signup_date,renewal_date,monthly_fee,discount_pct,auto_renew,subscription_status,sales_channel,record_status,status_reason,subscription_status_norm
S000015,C01763,North,Enterprise,2025-05-24,2026-01-30,10266.59,0.0,,,Partner,SUSPICIOUS,Missing subscription_status,Nan
S000016,C01752,Central,Growth,2025-03-17,2026-04-30,38683.92,38.0,N,Expired,,VALID,No issues detected,Expired
S000017,C00257,Central,Enterprise,2024-02-25,2025-01-13,68365.94,130.0,,Trial,Partner,INVALID,Discount_pct outside 0-100 range,Trial
S000018,C01448,East,Growth,2024-05-05,2025-06-04,,0.0,N,Trial,Inside Sales,SUSPICIOUS,Missing monthly_fee,Trial
S000019,C00723,West,Pro,2024-05-18,2024-12-18,68034.31,11.0,,Cancelled,Website,VALID,No issues detected,Cancelled
S000020,,West,Growth,2024-10-12,,3973.63,0.0,Y,Active,,INVALID,Missing customer_id; Active subscription with missing/implausible renewal date,Active
S000021,C00988,West,Pro,2025-01-18,,,9.0,N,Cancelled,Website,SUSPICIOUS,Missing monthly_fee,Cancelled
S000022,C00509,,Enterprise,2025-01-25,2025-03-04,49302.6,0.0,Y,Cancelled,Website,VALID,No issues detected,Cancelled
S000023,C01438,East,Pro,2024-10-26,,16067.37,0.0,Y,Active,Marketplace,SUSPICIOUS,Active subscription with missing/implausible renewal date,Active
S000024,C00291,East,Growth,2025-03-14,2025-06-23,77774.81,0.0,,Active,Marketplace,VALID,No issues detected,Active
S000025,C01063,North,Growth,2024-10-27,2024-10-18,44323.71,-18.0,N,Cancelled,,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range,Cancelled
S000026,C00406,East,Pro,2025-11-22,2026-03-21,60286.62,-20.0,Y,Trial,Inside Sales,INVALID,Discount_pct outside 0-100 range,Trial
S000027,C00763,,,2025-05-24,2026-01-04,55410.81,0.0,,Cancelled,Partner,VALID,No issues detected,Cancelled
S000028,C01786,Central,Growth,2024-09-02,2024-12-28,1429.83,44.0,N,Expired,,VALID,No issues detected,Expired
S000029,,North,Enterprise,2025-05-16,2026-03-22,24414.58,0.0,,,Website,INVALID,Missing customer_id; Missing subscription_status,Nan
S000030,C00359,Central,Growth,2025-04-16,2026-01-25,55387.6,38.0,Y,Trial,Website,VALID,No issues detected,Trial
S000031,C01041,North,Pro,2025-01-28,2025-05-22,-28512.96,49.0,N,Active,Marketplace,INVALID,Negative monthly_fee,Active
S000032,C01387,,Pro,2024-10-21,2025-09-07,79609.58,-13.0,,Active,Inside Sales,INVALID,Discount_pct outside 0-100 range,Active
S000033,C00712,West,Enterprise,2024-04-24,2025-05-18,65415.08,158.0,Y,Trial,Partner,INVALID,Discount_pct outside 0-100 range,Trial
S000034,C01660,North,Pro,2025-11-26,,4998.26,0.0,,Expired,Inside Sales,VALID,No issues detected,Expired
S000035,C00272,Central,Pro,2024-04-06,2024-12-28,11326.94,9.0,,Active,Marketplace,VALID,No issues detected,Active
S000036,C00846,East,Growth,2024-01-04,2024-09-12,78005.8,0.0,Y,,Inside Sales,SUSPICIOUS,Missing subscription_status,Nan
S000037,C00136,,Pro,2025-09-16,2026-08-17,78590.36,153.0,,,Website,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000038,C01178,South,Growth,2024-05-05,2024-10-05,17974.55,0.0,Y,Trial,Inside Sales,VALID,No issues detected,Trial
S000039,C00042,North,,2025-06-10,2025-10-11,4826.37,37.0,,Expired,Inside Sales,VALID,No issues detected,Expired
S000040,C00431,South,Enterprise,2025-01-17,2025-09-27,65696.34,51.0,Y,,,SUSPICIOUS,Missing subscription_status,Nan
S000041,C01268,West,Enterprise,2024-09-15,2025-08-30,28977.72,0.0,,Active,,VALID,No issues detected,Active
S000042,C00313,North,Enterprise,2024-02-24,2024-06-11,,-20.0,N,Trial,,INVALID,Missing monthly_fee; Discount_pct outside 0-100 range,Trial
S000043,C00036,West,,2024-02-14,,20439.87,55.0,N,Trial,,VALID,No issues detected,Trial
S000044,C01257,,,2025-10-04,2026-06-17,,44.0,Y,Active,,SUSPICIOUS,Missing monthly_fee,Active
S000045,C00066,South,Growth,2025-11-20,2026-07-11,,26.0,Y,Expired,Inside Sales,SUSPICIOUS,Missing monthly_fee,Expired
S000046,C00962,North,,2024-01-22,2024-02-17,9500.25,27.0,Y,Cancelled,Marketplace,VALID,No issues detected,Cancelled
S000047,C01702,North,Growth,2025-04-18,2026-05-08,13822.19,33.0,Y,Active,,VALID,No issues detected,Active
,C00395,,Growth,2024-03-26,2025-04-29,21479.65,0.0,Y,Cancelled,,INVALID,Missing subscription_id,Cancelled
S000049,,East,Growth,2024-05-03,2024-07-29,55738.84,30.0,N,Cancelled,Inside Sales,INVALID,Missing customer_id,Cancelled
S000050,C01138,North,Basic,2024-03-09,2024-05-11,60480.31,-30.0,Y,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000051,C00864,,Enterprise,2025-02-24,2025-11-26,2058.25,20.0,N,,Marketplace,SUSPICIOUS,Missing subscription_status,Nan
S000052,C00187,East,,2024-03-29,2024-10-23,51110.59,-2.0,,,Inside Sales,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000053,C01643,East,Basic,2025-03-29,2025-10-28,20771.22,-2.0,N,Cancelled,Marketplace,INVALID,Discount_pct outside 0-100 range,Cancelled
S000054,C00766,North,Pro,2024-02-29,,2175.47,121.0,,Trial,Partner,INVALID,Discount_pct outside 0-100 range,Trial
S000055,C00738,South,Basic,2024-11-11,2025-11-30,27331.59,0.0,N,Expired,Inside Sales,VALID,No issues detected,Expired
S000056,C01038,North,,2024-10-15,2024-10-12,76409.62,-2.0,N,Expired,Marketplace,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range,Expired
S000057,C00326,South,Basic,2025-02-10,,,0.0,,Cancelled,Partner,SUSPICIOUS,Missing monthly_fee,Cancelled
S000058,C00396,South,Growth,2025-03-26,2025-09-25,57581.51,-8.0,,Trial,Inside Sales,INVALID,Discount_pct outside 0-100 range,Trial
S000059,C00139,East,Enterprise,2025-11-14,2026-11-05,61770.72,-12.0,N,,,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000060,C00085,East,Pro,2024-03-11,2024-11-23,,137.0,N,Cancelled,Inside Sales,INVALID,Missing monthly_fee; Discount_pct outside 0-100 range,Cancelled
S000061,,East,Growth,2024-11-04,2025-08-13,17978.74,0.0,,Expired,Website,INVALID,Missing customer_id,Expired
S000062,,,Pro,2024-02-21,,78130.73,0.0,N,Cancelled,Inside Sales,INVALID,Missing customer_id,Cancelled
S000063,C01082,West,Growth,2024-07-09,2025-08-18,74215.48,137.0,,Active,Partner,INVALID,Discount_pct outside 0-100 range,Active
S000064,C01470,North,Basic,2024-03-22,2025-02-12,55588.74,-18.0,,,Marketplace,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
,,North,Pro,2024-10-19,2025-10-25,11514.83,130.0,Y,Trial,Partner,INVALID,Missing subscription_id; Missing customer_id; Discount_pct outside 0-100 range,Trial
,C01309,North,,2025-10-10,2026-08-09,6886.55,70.0,,Trial,Marketplace,INVALID,Missing subscription_id,Trial
S000067,C01244,South,Enterprise,2025-10-31,2026-06-16,50540.71,138.0,Y,Trial,,INVALID,Discount_pct outside 0-100 range,Trial
S000068,C00642,East,Pro,2024-11-08,2025-10-31,34584.88,0.0,N,Expired,Website,VALID,No issues detected,Expired
S000069,C00038,East,Growth,2025-07-16,,45213.73,-21.0,,,Partner,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000070,C00786,West,Enterprise,2024-03-18,,,28.0,N,,Marketplace,SUSPICIOUS,Missing monthly_fee; Missing subscription_status,Nan
S000071,C01604,North,,2024-10-27,2025-03-02,32424.28,68.0,,,Inside Sales,SUSPICIOUS,Missing subscription_status,Nan
S000072,C00277,North,Pro,2024-03-19,2025-01-08,,0.0,N,Trial,Marketplace,SUSPICIOUS,Missing monthly_fee,Trial
S000073,C01032,South,Pro,2025-02-01,2025-07-31,3332.47,109.0,N,Active,Inside Sales,INVALID,Discount_pct outside 0-100 range,Active
S000074,C01721,South,Enterprise,2025-04-03,2026-05-16,67280.73,9.0,,Cancelled,,VALID,No issues detected,Cancelled
S000075,C00988,North,,2025-01-15,,56640.71,34.0,Y,Cancelled,Partner,VALID,No issues detected,Cancelled
,C01130,Central,Enterprise,2024-02-09,2025-02-12,76099.0,137.0,N,,Website,INVALID,Missing subscription_id; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000077,C01544,North,Basic,2025-09-16,2026-08-02,18196.21,65.0,,Cancelled,Website,VALID,No issues detected,Cancelled
S000078,C00980,South,Growth,2025-01-28,2026-03-21,,0.0,N,,,SUSPICIOUS,Missing monthly_fee; Missing subscription_status,Nan
S000079,C00374,Central,Enterprise,2024-12-09,,55948.86,-25.0,Y,,Inside Sales,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
,C00887,,Pro,2024-03-07,2024-10-31,10441.05,105.0,,Active,Inside Sales,INVALID,Missing subscription_id; Discount_pct outside 0-100 range,Active
S000081,C01403,East,Growth,2025-05-25,2026-07-05,38075.86,123.0,Y,,,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000082,C00910,South,Basic,2024-01-01,2025-02-24,39331.78,0.0,,Cancelled,Inside Sales,VALID,No issues detected,Cancelled
S000083,C01560,East,Pro,2025-02-22,2025-04-20,68262.64,14.0,N,Expired,Partner,VALID,No issues detected,Expired
S000084,C00733,South,Pro,2024-10-30,2025-08-03,24397.52,130.0,N,Expired,Inside Sales,INVALID,Discount_pct outside 0-100 range,Expired
S000085,C00019,,,2025-05-11,2025-10-23,60521.63,60.0,N,,Inside Sales,SUSPICIOUS,Missing subscription_status,Nan
S000086,C01449,Central,Pro,2025-04-24,2025-07-29,,0.0,Y,Active,Marketplace,SUSPICIOUS,Missing monthly_fee,Active
S000087,C01651,,Pro,2025-08-10,2025-11-20,35715.95,-11.0,Y,Active,Marketplace,INVALID,Discount_pct outside 0-100 range,Active
S000088,C01265,North,Pro,2024-09-30,,22392.15,-25.0,,Expired,Website,INVALID,Discount_pct outside 0-100 range,Expired
S000089,C01723,North,Pro,2024-02-27,2024-05-30,1855.28,146.0,N,Active,,INVALID,Discount_pct outside 0-100 range,Active
,C00448,Central,Basic,2024-01-11,2023-12-26,47564.74,27.0,Y,Trial,Partner,INVALID,Missing subscription_id; Renewal date earlier than signup date,Trial
,C01648,North,Growth,2025-05-16,2025-11-04,57117.35,0.0,Y,Active,Marketplace,INVALID,Missing subscription_id,Active
S000092,C00581,North,Basic,2025-02-09,2025-08-25,75690.0,0.0,Y,Active,Partner,VALID,No issues detected,Active
S000093,C00284,West,Growth,2024-01-05,2024-10-22,24065.22,133.0,,Expired,Marketplace,INVALID,Discount_pct outside 0-100 range,Expired
S000094,C00277,Central,Pro,2025-08-31,2026-05-06,46245.7,0.0,Y,,Partner,SUSPICIOUS,Missing subscription_status,Nan
S000095,C01564,,Enterprise,2025-04-09,2025-09-04,78959.0,4.0,,Expired,Marketplace,VALID,No issues detected,Expired
S000096,C00156,West,Basic,2024-07-03,2025-01-05,35523.03,117.0,N,Cancelled,Marketplace,INVALID,Discount_pct outside 0-100 range,Cancelled
S000097,C01461,,Basic,2025-01-24,2026-02-14,8321.71,108.0,N,Expired,Website,INVALID,Discount_pct outside 0-100 range,Expired
S000098,C00566,North,Pro,2025-07-21,2025-05-30,62214.2,62.0,N,Cancelled,Inside Sales,INVALID,Renewal date earlier than signup date,Cancelled
S000099,C01394,West,,2024-10-04,2025-04-04,-39390.48,113.0,N,Active,Inside Sales,INVALID,Negative monthly_fee; Discount_pct outside 0-100 range,Active
S000100,C01277,,Basic,2024-03-18,2024-12-14,66165.05,0.0,N,Cancelled,,VALID,No issues detected,Cancelled
S000101,C00871,South,Growth,2024-03-16,2025-04-15,77801.24,0.0,Y,,Website,SUSPICIOUS,Missing subscription_status,Nan
S000102,C00042,East,Pro,2025-05-12,2025-04-23,32135.75,-28.0,Y,Active,Partner,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range,Active
S000103,C01127,,Growth,2024-07-29,2025-05-08,39534.33,-10.0,Y,Active,,INVALID,Discount_pct outside 0-100 range,Active
S000104,C00166,East,Basic,2025-09-20,2026-06-20,8131.15,-27.0,Y,Active,Inside Sales,INVALID,Discount_pct outside 0-100 range,Active
S000105,C01306,South,Pro,2024-08-05,2024-12-27,78269.9,116.0,,Expired,,INVALID,Discount_pct outside 0-100 range,Expired
S000106,C00963,Central,Growth,2025-04-03,2025-12-26,,0.0,,Active,Inside Sales,SUSPICIOUS,Missing monthly_fee,Active
S000107,C00325,Central,Pro,2024-02-29,2024-08-21,38253.71,-10.0,N,Cancelled,,INVALID,Discount_pct outside 0-100 range,Cancelled
S000108,C00957,South,,2024-02-18,,,0.0,N,,Partner,SUSPICIOUS,Missing monthly_fee; Missing subscription_status,Nan
S000109,,Central,Enterprise,2024-05-09,,57111.26,-4.0,,,Partner,INVALID,Missing customer_id; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000110,C01748,Central,Pro,2024-10-15,2025-10-24,43904.07,138.0,N,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000111,C00760,Central,Basic,2025-09-26,2026-09-10,16395.08,127.0,Y,Cancelled,Partner,INVALID,Discount_pct outside 0-100 range,Cancelled
S000112,C01106,North,,2025-07-25,2026-05-04,32267.25,41.0,,Trial,Inside Sales,VALID,No issues detected,Trial
S000113,C00613,,Enterprise,2024-01-20,2024-09-19,20650.12,-25.0,N,Cancelled,Marketplace,INVALID,Discount_pct outside 0-100 range,Cancelled
S000114,C01569,South,Pro,2025-09-04,2026-01-01,62110.98,60.0,N,Active,Inside Sales,VALID,No issues detected,Active
S000115,C01239,East,Enterprise,2025-10-17,,66540.06,69.0,N,Trial,,VALID,No issues detected,Trial
S000116,C00305,West,Pro,2024-03-03,2024-06-01,55826.64,103.0,Y,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000117,C01653,Central,Pro,2025-06-30,2026-07-05,57610.45,0.0,Y,Trial,,VALID,No issues detected,Trial
S000118,C01195,Central,Enterprise,2024-06-22,2025-06-16,8967.52,12.0,N,Trial,Marketplace,VALID,No issues detected,Trial
S000119,C00173,South,Pro,2025-02-18,2026-01-21,12554.03,125.0,Y,Active,Partner,INVALID,Discount_pct outside 0-100 range,Active
S000120,C00123,Central,Enterprise,2025-04-02,2025-12-27,15060.0,42.0,Y,,Inside Sales,SUSPICIOUS,Missing subscription_status,Nan
S000121,C00339,,,2025-01-21,2026-01-15,,35.0,Y,Active,Inside Sales,SUSPICIOUS,Missing monthly_fee,Active
S000122,C00411,Central,,2025-09-19,2025-12-29,26398.32,115.0,N,Trial,Website,INVALID,Discount_pct outside 0-100 range,Trial
,C00500,North,Basic,2024-06-30,2025-01-10,70658.06,151.0,,Trial,Partner,INVALID,Missing subscription_id; Discount_pct outside 0-100 range,Trial
S000124,C00704,West,Pro,2024-02-01,,42093.34,0.0,,Active,Marketplace,SUSPICIOUS,Active subscription with missing/implausible renewal date,Active
,C01085,Central,Pro,2024-10-22,2025-11-01,72684.01,117.0,Y,Expired,,INVALID,Missing subscription_id; Discount_pct outside 0-100 range,Expired
S000126,C00913,Central,Growth,2024-01-27,2024-01-13,2000.74,-19.0,N,Cancelled,Partner,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range,Cancelled
S000127,C01490,,Growth,2025-06-24,2025-10-05,28265.41,151.0,N,Active,Website,INVALID,Discount_pct outside 0-100 range,Active
S000128,C00880,North,,2025-06-01,2025-08-14,40640.81,130.0,,Active,Inside Sales,INVALID,Discount_pct outside 0-100 range,Active
S000129,C01108,East,Basic,2024-07-24,2025-08-04,76351.68,0.0,Y,Active,Partner,VALID,No issues detected,Active
S000130,,South,Pro,2025-11-24,2025-11-21,-31910.64,10.0,,Expired,Marketplace,INVALID,Missing customer_id; Renewal date earlier than signup date; Negative monthly_fee,Expired
S000131,C01742,East,Enterprise,2024-07-31,2025-04-05,45153.11,156.0,N,Active,,INVALID,Discount_pct outside 0-100 range,Active
S000132,C00257,North,Pro,2025-03-02,,37737.28,2.0,Y,,Website,SUSPICIOUS,Missing subscription_status,Nan
S000133,C01293,Central,Basic,2025-05-04,2026-03-04,68748.78,58.0,,Expired,Website,VALID,No issues detected,Expired
,C00174,Central,Basic,2025-10-26,,68407.67,21.0,Y,Cancelled,Marketplace,INVALID,Missing subscription_id,Cancelled
S000135,C00443,South,Enterprise,2024-11-29,,35476.0,65.0,Y,Trial,Partner,VALID,No issues detected,Trial
S000136,C01211,South,Basic,2025-01-08,2026-01-20,79565.99,0.0,,,Partner,SUSPICIOUS,Missing subscription_status,Nan
S000137,,West,,2025-10-13,2026-04-09,76336.23,112.0,,Expired,,INVALID,Missing customer_id; Discount_pct outside 0-100 range,Expired
S000138,C00660,Central,,2025-04-24,2026-01-05,43950.48,1.0,,Expired,Marketplace,VALID,No issues detected,Expired
S000139,C00758,North,Enterprise,2025-06-19,2026-04-14,55856.77,-10.0,,Trial,Website,INVALID,Discount_pct outside 0-100 range,Trial
S000140,C00097,South,,2025-03-28,2025-09-08,59754.66,120.0,,Active,Inside Sales,INVALID,Discount_pct outside 0-100 range,Active
S000141,C00290,South,,2024-06-05,2025-04-17,15486.31,32.0,N,Active,Inside Sales,VALID,No issues detected,Active
,C01474,South,,2024-01-19,,8544.23,-24.0,,Cancelled,,INVALID,Missing subscription_id; Discount_pct outside 0-100 range,Cancelled
S000143,C00305,South,Growth,2024-06-24,2024-12-05,,115.0,Y,Active,Website,INVALID,Missing monthly_fee; Discount_pct outside 0-100 range,Active
S000144,C00448,West,Growth,2024-09-29,2024-12-28,60133.6,31.0,N,Active,,VALID,No issues detected,Active
,C00517,Central,Basic,2025-02-21,2025-11-21,43027.54,-13.0,Y,Trial,Inside Sales,INVALID,Missing subscription_id; Discount_pct outside 0-100 range,Trial
S000146,C01234,South,Enterprise,2025-06-13,2025-07-18,71014.35,0.0,N,,Inside Sales,SUSPICIOUS,Missing subscription_status,Nan
S000147,C01584,North,Pro,2025-05-30,2026-06-29,71051.14,103.0,,,Partner,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000148,C01600,South,Pro,2025-05-05,,65638.95,-19.0,,Expired,Partner,INVALID,Discount_pct outside 0-100 range,Expired
S000149,C01069,Central,Enterprise,2024-08-23,2024-10-08,6542.98,0.0,N,Cancelled,Marketplace,VALID,No issues detected,Cancelled
S000150,C00107,Central,,2025-01-09,2026-02-02,33171.07,150.0,N,Expired,Inside Sales,INVALID,Discount_pct outside 0-100 range,Expired
S000151,C00059,South,,2024-02-29,2025-01-19,78826.6,0.0,,Expired,Partner,VALID,No issues detected,Expired
S000152,C01781,West,Growth,2024-12-18,2025-07-07,37147.87,65.0,Y,Expired,Inside Sales,VALID,No issues detected,Expired
S000153,C01563,North,,2024-07-21,2025-03-01,57586.04,20.0,Y,,Partner,SUSPICIOUS,Missing subscription_status,Nan
S000154,C01727,,,2024-11-29,2025-01-26,,7.0,Y,Expired,Website,SUSPICIOUS,Missing monthly_fee,Expired
S000155,C01319,South,Enterprise,2025-04-07,2025-07-05,49431.07,18.0,N,Active,Inside Sales,VALID,No issues detected,Active
S000156,C01698,South,Enterprise,2024-02-01,2024-05-22,13091.59,127.0,,Trial,Inside Sales,INVALID,Discount_pct outside 0-100 range,Trial
S000157,C00568,,Pro,2025-01-12,2025-10-18,39087.33,0.0,Y,Expired,,VALID,No issues detected,Expired
S000158,C01158,East,Pro,2025-05-19,2026-02-11,27746.0,0.0,N,Expired,,VALID,No issues detected,Expired
S000159,C00108,,Enterprise,2024-08-16,2025-04-18,984.37,0.0,N,Trial,,VALID,No issues detected,Trial
S000160,C00235,Central,Growth,2024-01-07,2023-11-13,78843.33,-15.0,Y,Trial,Partner,INVALID,Renewal date earlier than signup date; Discount_pct outside 0-100 range,Trial
S000161,C01595,,Enterprise,2024-11-16,2025-04-20,58428.11,153.0,N,Trial,Inside Sales,INVALID,Discount_pct outside 0-100 range,Trial
S000162,C00633,West,Basic,2024-09-06,2025-02-23,54490.24,38.0,,Expired,Website,VALID,No issues detected,Expired
S000163,C00853,West,,2025-04-14,2026-04-30,42446.12,130.0,Y,Trial,Marketplace,INVALID,Discount_pct outside 0-100 range,Trial
S000164,C01389,South,,2024-10-31,2025-03-12,8055.53,70.0,,,Marketplace,SUSPICIOUS,Missing subscription_status,Nan
S000165,C01355,East,Pro,2024-12-06,2025-03-29,51357.57,0.0,Y,Trial,,VALID,No issues detected,Trial
S000166,C01673,West,,2024-06-21,2025-06-30,2445.73,0.0,,Trial,Marketplace,VALID,No issues detected,Trial
S000167,C01223,South,Pro,2024-04-17,,65046.44,-20.0,N,Cancelled,Marketplace,INVALID,Discount_pct outside 0-100 range,Cancelled
S000168,C01637,,Growth,2025-09-25,2026-06-06,46590.14,0.0,Y,Active,Website,VALID,No issues detected,Active
S000169,C00661,South,,2024-10-02,,77697.86,142.0,,,Partner,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000170,C00282,West,Basic,2025-08-24,2026-09-29,60045.81,0.0,N,Trial,Partner,VALID,No issues detected,Trial
S000171,C01475,East,Growth,2024-08-23,2025-07-29,73557.96,56.0,Y,Cancelled,Marketplace,VALID,No issues detected,Cancelled
S000172,C01616,South,Pro,2024-07-16,2024-12-31,-5184.21,133.0,N,,Inside Sales,INVALID,Negative monthly_fee; Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000173,C01112,West,,2024-05-04,2024-11-01,4449.21,-28.0,N,Trial,Website,INVALID,Discount_pct outside 0-100 range,Trial
S000174,C00031,West,Enterprise,2025-10-14,2025-11-12,61008.65,69.0,Y,Active,Inside Sales,VALID,No issues detected,Active
S000175,C00635,South,Pro,2024-09-12,2025-07-22,38467.92,0.0,,Trial,,VALID,No issues detected,Trial
S000176,C00758,,Enterprise,2025-11-11,2026-08-11,31090.75,-1.0,Y,,,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
,C01248,South,Pro,2024-11-03,2025-06-19,17058.36,0.0,,Trial,Website,INVALID,Missing subscription_id,Trial
S000178,C00597,,,2025-08-22,2026-08-18,26601.87,0.0,,Cancelled,Partner,VALID,No issues detected,Cancelled
S000179,C00346,North,Pro,2025-01-24,2025-08-29,54859.43,0.0,Y,Expired,Partner,VALID,No issues detected,Expired
S000180,,North,Enterprise,2025-11-20,2026-06-16,19066.3,49.0,,Expired,Marketplace,INVALID,Missing customer_id,Expired
S000181,C00729,Central,Pro,2025-07-04,2025-09-18,28625.19,-26.0,Y,Expired,Partner,INVALID,Discount_pct outside 0-100 range,Expired
S000182,C00731,,Basic,2024-09-21,2025-10-05,17426.66,110.0,Y,Expired,,INVALID,Discount_pct outside 0-100 range,Expired
S000183,C01132,South,Growth,2025-06-28,2026-04-22,62227.55,0.0,N,Expired,Marketplace,VALID,No issues detected,Expired
S000184,C01187,East,Basic,2024-05-26,2024-10-02,65359.71,-28.0,,Expired,Marketplace,INVALID,Discount_pct outside 0-100 range,Expired
S000185,C00409,North,Enterprise,2024-08-10,2025-03-24,19622.67,-18.0,,,Partner,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
,C01535,West,Growth,2024-01-20,2023-12-08,49144.85,0.0,Y,,,INVALID,Missing subscription_id; Renewal date earlier than signup date; Missing subscription_status,Nan
S000187,C01652,,Basic,2024-04-12,2025-04-10,69182.48,120.0,N,Trial,Marketplace,INVALID,Discount_pct outside 0-100 range,Trial
S000188,,South,Basic,2024-06-11,2024-07-14,76443.45,42.0,,,Partner,INVALID,Missing customer_id; Missing subscription_status,Nan
S000189,C00777,East,Basic,2025-08-19,,7065.88,0.0,,,,SUSPICIOUS,Missing subscription_status,Nan
S000190,,South,Basic,2025-03-08,2025-10-14,61136.12,129.0,N,Trial,Marketplace,INVALID,Missing customer_id; Discount_pct outside 0-100 range,Trial
S000191,C00084,South,,2024-10-06,2025-09-25,30398.4,0.0,Y,Cancelled,Marketplace,VALID,No issues detected,Cancelled
,C00428,West,Enterprise,2025-04-07,2025-02-09,11412.9,17.0,N,Active,Website,INVALID,Missing subscription_id; Renewal date earlier than signup date,Active
S000193,C00504,West,Enterprise,2024-06-14,2024-12-19,-26806.38,160.0,Y,Active,Partner,INVALID,Negative monthly_fee; Discount_pct outside 0-100 range,Active
S000194,C00461,,Growth,2024-06-05,2025-07-06,65416.9,150.0,Y,Expired,Website,INVALID,Discount_pct outside 0-100 range,Expired
S000195,C00130,West,,2025-08-10,2025-10-08,75669.12,125.0,,Active,Inside Sales,INVALID,Discount_pct outside 0-100 range,Active
S000196,C00578,South,Growth,2024-12-21,2025-11-26,17074.44,-15.0,,Active,Partner,INVALID,Discount_pct outside 0-100 range,Active
S000197,C01713,Central,Basic,2024-11-02,2025-05-31,52636.52,0.0,N,Active,,VALID,No issues detected,Active
S000198,C01350,Central,Basic,2025-04-25,2025-08-07,56977.83,-9.0,Y,Trial,Partner,INVALID,Discount_pct outside 0-100 range,Trial
S000199,C00040,South,Pro,2025-09-08,2026-01-26,44658.29,-27.0,,,Partner,INVALID,Discount_pct outside 0-100 range; Missing subscription_status,Nan
S000200,C00314,North,Basic,2025-06-25,2026-02-09,22936.17,32.0,Y,Expired,Partner,VALID,No issues detected,Expired
S000201,C01048,North,Basic,2024-08-13,2025-09-19,68002.2,-23.0,N,Active,Marketplace,INVALID,Discount_pct outside 0-100 range,Active
S000202,C00228,West,Enterprise,2025-04-08,2025-08-04,23578.03,0.0,N,Active,Marketplace,VALID,No issues detected,Active
